MODEL RESULTS

Report produced by model_selection.R
Contact: Sherri.Dressel@alaska.gov or Jane.Sullivan1@alaska.gov
model.18_222

Model structure
Survival time blocks:,1980-2014; 2015-2017
Maturity time blocks:,1980-2014; 2015-2017
Selectivity time blocks:,1980-2014; 2015-2017

Model diagnostics
Number of parameters:,59
Negative log likelihood:,-1131.5
Maximum gradient compoent:,3.22795619650775e-05

Forecast
Mature biomass forecast (tons):,66507.7
Threshold placeholder, TODO
GHL (tons):,13301.5
Harvest rate:, 0.2

Forecast values by age
Age,Mature and immature numbers-at-age forecast (millions),Mature numbers-at-age (millions),Proportion mature numbers-at-age,Weight-at-age used in forecast (g),Survival,Maturity,Selectivity
3,557.4477,67.1342,0.114110098052397,77.2,0.534619500038887,0.1316,0.0864
4,265.7984,290.6399,0.494009722122835,88.2,0.534619500038887,0.5391,0.4189
5,17.8741,37.5681,0.0638556737794187,117.1,0.534619500038887,0.9003,1.0702
6,67.8929,170.0058,0.288964171874785,124.8,0.534619500038887,0.9859,1.4191
7,1.1453,2.9613,0.00503341416688607,137.1,0.534619500038887,0.9981,1.4962
8+,7.7045,20.019,0.0340269200036782,174.6,0.534619500038887,0.9998,1.5092

Catch and biomass time series
Year,Mature biomass (tons),Spawning biomass (tons),Catch (tons),Mature and immature age-3 abundance (recruitment in millions)
1980,20118.5562953328,15733.5562953328,4385,166.2156
1981,26857.8973301881,23351.8973081417,3506.00002204634,44.8864
1982,22991.4708216671,18628.4708657598,4362.99995590732,123.4392
1983,26958.0329151877,21508.0329151877,5450,596.3254
1984,30089.6586124033,24259.6586124033,5830,278.5824
1985,31672.6197667497,24197.6197667497,7475,86.5889
1986,28389.3830331357,22946.3830772283,5442.99995590732,223.2658
1987,34520.7528825591,30304.7528605128,4216.00002204634,1283.2703
1988,40908.413214577,31333.413214577,9575,190.323
1989,38105.81880112,25970.81880112,12135,40.0471
1990,30084.6626909764,26280.6627130228,3803.99997795366,101.5207
1991,33871.3933287771,31963.3933728698,1907.99995590732,1557.26
1992,47439.1287285875,42071.1287726802,5367.99995590732,146.3213
1993,47902.2986617871,37716.2986397407,10186.0000220463,66.6616
1994,42407.4174915673,37520.5075067792,4886.90998478802,99.6826
1995,40582.0432549218,37604.1432791728,2977.89997574902,422.1113
1996,35896.2983090456,27647.1483057387,8249.15000330695,370.4567
1997,46544.1107608192,35289.5907096717,11254.5200511475,930.4361
1998,64093.7544919421,57307.1944928239,6786.55999911815,954.6984
1999,74676.6723252276,65255.2123062678,9421.46001895985,239.9068
2000,77913.645031857,73294.2750060627,4619.37002579422,582.2572
2001,83046.0467602901,70986.0467602901,12060,802.6316
2002,83438.8126942834,73503.3126832602,9935.50001102317,536.5879
2003,103752.731651932,96796.6216186424,6956.11003328998,1927.9803
2004,116077.840230164,105461.250248021,10616.5899821425,279.0224
2005,119475.838753059,107955.508719328,11520.3300337309,529.0349
2006,107192.310015653,97122.8800238101,10069.4299918429,644.6996
2007,105834.074494588,94071.8244449834,11762.2500496043,935.6338
2008,114736.744196301,100176.344165436,14560.4000308649,1188.8969
2009,127097.677858859,112223.187900968,14874.4899578915,847.5304
2010,125186.09261668,107222.602570603,17963.4900460769,803.3306
2011,115895.899270266,96356.6792698252,19539.2200004409,306.4288
2012,84333.1772084923,71024.6672104764,13308.5099980158,194.9542
2013,78499.6621398179,72713.9421063075,5785.72003351044,496.6679
2014,64147.4698516281,47070.0798077559,17077.3900438722,57.6832
2015,62356.8568531052,53501.0268083512,8855.83004475407,1499.1645
2016,67679.4413457087,57623.9813487952,10055.4599969135,159.6573
2017,71585.313058048,57522.3930201283,14062.9200379197,1023.9531

Mature and immature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,166.2156,374.9612,57.5519,5.6021,0.2886,0.2866
1981,44.8864,93.7677,200.502,28.03,2.4921,0.2413
1982,123.4392,25.675,52.0938,106.046,14.1642,1.3474
1983,596.3254,70.1858,14.0319,26.6061,50.8045,7.1732
1984,278.5824,338.373,38.1431,7.0803,12.51,26.1993
1985,86.5889,158.0294,183.7414,19.2123,3.32,17.2937
1986,223.2658,48.8541,84.5337,89.5618,8.5577,8.6041
1987,1283.2703,126.8572,26.6483,42.9954,42.6337,7.8318
1988,190.323,735.2049,70.7841,14.224,22.0286,25.2738
1989,40.0471,107.312,392.5667,34.3648,6.2958,19.7001
1990,101.5207,22.355,55.7018,178.84,13.7253,9.4308
1991,1557.26,58.19,12.4896,29.8113,91.997,11.6297
1992,146.3213,899.9695,33.24,6.9991,16.42,56.5504
1993,66.6616,83.8746,502.8982,17.7966,3.6024,36.5686
1994,99.6826,37.7339,45.276,250.0632,8.1793,17.433
1995,422.1113,57.2193,21.1648,24.4318,130.2328,13.0316
1996,370.4567,243.5491,32.5431,11.7546,13.2805,76.9839
1997,930.4361,209.5268,131.1724,16.1021,5.3608,38.8234
1998,954.6984,526.5682,113.0406,65.145,7.3863,19.1376
1999,239.9068,547.7556,294.9764,60.8378,33.7934,13.4262
2000,582.2572,137.3059,304.7898,156.5305,30.8966,23.3746
2001,802.6316,336.3404,78.3356,170.364,85.8926,29.4524
2002,536.5879,458.727,186.4374,41.2351,85.4703,56.2802
2003,1927.9803,307.626,256.4297,99.8961,21.2487,71.3471
2004,279.0224,1112.4005,174.959,142.4159,54.2998,49.6157
2005,529.0349,160.4606,627.0821,95.4041,75.3374,53.9561
2006,644.6996,304.1503,90.3842,341.3896,50.3465,66.9621
2007,935.6338,370.9348,171.6804,49.4202,181.3261,61.176
2008,1188.8969,537.1318,208.1228,92.7044,25.764,123.9034
2009,847.5304,680.9051,299.4329,110.873,47.3578,74.2787
2010,803.3306,485.886,380.6208,160.4347,57.1302,61.1184
2011,306.4288,459.096,269.2833,200.2779,80.442,57.5119
2012,194.9542,174.6252,252.468,139.3741,97.9278,65.1338
2013,496.6679,111.3036,96.5159,132.0808,69.2725,78.5552
2014,57.6832,286.5362,63.285,53.5722,71.7333,79.2083
2015,1499.1645,32.5138,152.8606,30.6633,23.6376,62.6258
2016,159.6573,792.8489,16.4755,70.8287,13.4957,37.4697
2017,1023.9531,84.2458,397.1632,7.3902,29.7837,21.076

Mature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,23.4536,144.2747,40.5292,5.0455,0.2805,0.2844
1981,6.3336,36.0792,141.1975,25.2448,2.422,0.2394
1982,17.4177,9.879,36.6855,95.5086,13.7652,1.3372
1983,84.1435,27.0056,9.8816,23.9623,49.3736,7.119
1984,39.3089,130.1965,26.8611,6.3767,12.1577,26.0013
1985,12.218,60.8053,129.3944,17.3032,3.2265,17.1631
1986,31.5036,18.7977,59.5303,80.6624,8.3167,8.5391
1987,181.0738,48.8111,18.7663,38.7232,41.4329,7.7726
1988,26.8552,282.8864,49.8476,12.8106,21.4081,25.0829
1989,5.6508,41.2907,276.4532,30.9501,6.1185,19.5512
1990,14.3249,8.6016,39.2263,161.0694,13.3387,9.3595
1991,219.7347,22.3899,8.7954,26.8491,89.4059,11.5418
1992,20.6464,346.2833,23.4083,6.3036,15.9576,56.1232
1993,9.4062,32.2726,354.1509,16.0283,3.501,36.2923
1994,14.0655,14.5189,31.8843,225.2154,7.9489,17.3012
1995,59.5613,22.0164,14.9046,22.0041,126.5648,12.9331
1996,52.2727,93.7109,22.9175,10.5866,12.9064,76.4022
1997,131.2877,80.6201,92.3742,14.5021,5.2098,38.5301
