MODEL RESULTS

Report produced by model_selection.R
Contact: Sherri.Dressel@alaska.gov or Jane.Sullivan1@alaska.gov
model.30_232

Model structure
Survival time blocks:,1980-2014; 2015-2017
Maturity time blocks:,1980-1998; 1999-2014; 2015-2017
Selectivity time blocks:,1980-1998; 1999-2017

Model diagnostics
Number of parameters:,61
Negative log likelihood:,-1156.8
Maximum gradient compoent:,6.54531728621908e-05

Forecast
Mature biomass forecast (tons):,60367.6
Threshold placeholder, TODO
GHL (tons):,12073.5
Harvest rate:, 0.2

Forecast values by age
Age,Mature and immature numbers-at-age forecast (millions),Mature numbers-at-age (millions),Proportion mature numbers-at-age,Weight-at-age used in forecast (g),Survival,Maturity,Selectivity
3,498.215,73.315,0.140094078863517,77.2,0.515560819970764,0.1373,0.1403
4,227.4344,217.6902,0.41597364859326,88.2,0.515560819970764,0.4596,0.4023
5,18.4148,34.4418,0.0658131657287252,117.1,0.515560819970764,0.8196,0.8784
6,71.0183,171.4784,0.327669760526355,124.8,0.515560819970764,0.9604,1.3379
7,1.4096,3.7134,0.00709575601789245,137.1,0.515560819970764,0.9924,1.5773
8+,8.3858,22.6881,0.0433535902702498,174.6,0.515560819970764,0.9986,1.6638

Catch and biomass time series
Year,Mature biomass (tons),Spawning biomass (tons),Catch (tons),Mature and immature age-3 abundance (recruitment in millions)
1980,24826.597698362,20441.597698362,4385,175.0898
1981,30433.3771688088,26927.3771467625,3506.00002204634,45.7745
1982,24509.9677021098,20146.9677462025,4362.99995590732,125.3388
1983,30032.4155073965,24582.4155073965,5450,612.3071
1984,34798.657047113,28968.657047113,5830,282.2831
1985,35422.319385348,27947.319385348,7475,86.7495
1986,30433.8107101127,24990.8107542053,5442.99995590732,226.1272
1987,39688.5709561498,35472.5709341035,4216.00002204634,1347.7185
1988,48534.3741043674,38959.3741043674,9575,190.7704
1989,42654.9599858903,30519.9599858903,12135,38.0526
1990,31584.8564783174,27780.8565003638,3803.99997795366,101.2851
1991,38148.0443792853,36240.0444233779,1907.99995590732,1611.9584
1992,56159.6650058423,50791.665049935,5367.99995590732,143.6018
1993,53262.6043343107,43076.6043122644,10186.0000220463,64.9254
1994,43787.3749421284,38900.4649573403,4886.90998478802,96.2986
1995,41537.2562225799,38559.3562468308,2977.89997574902,404.0854
1996,37605.5901805595,29356.4401772526,8249.15000330695,346.3828
1997,50640.8256354858,39386.3055843383,11254.5200511475,928.8937
1998,73544.7385303909,66758.1785312727,6786.55999911815,1051.1148
1999,52125.2368879384,42703.7768689786,9421.46001895985,268.4404
2000,59723.2893141383,55103.9192883441,4619.37002579422,676.5816
2001,67121.7208271787,55061.7208271787,12060,955.0041
2002,68457.0272713243,58521.5272603011,9935.50001102317,630.6937
2003,84781.6880883617,77825.5780550718,6956.11003328998,2275.6795
2004,95491.0652792169,84874.4752970744,10616.5899821425,328.1308
2005,103673.116029895,92152.7859961639,11520.3300337309,623.0192
2006,98496.6000132278,88427.170021385,10069.4299918429,755.6614
2007,95744.1745849776,83981.9245353734,11762.2500496043,1086.5634
2008,99571.9401882758,85011.5401574109,14560.4000308649,1372.5435
2009,107751.553715911,92877.0637580194,14874.4899578915,975.7981
2010,108310.252540841,90346.762494764,17963.4900460769,926.9806
2011,103208.243016821,83669.0230163804,19539.2200004409,375.8936
2012,78465.0725324632,65156.5625344474,13308.5099980158,246.0706
2013,75945.1899292312,70159.4698957208,5785.72003351044,615.3285
2014,62448.4720783086,45371.0820344364,17077.3900438722,75.4858
2015,71454.6129764766,62598.7829317225,8855.83004475407,1653.0472
2016,67714.6488017813,57659.1888048678,10055.4599969135,173.4445
2017,69819.6377786106,55756.7177406909,14062.9200379197,942.0966

Mature and immature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,175.0898,370.8997,60.393,6.2962,0.3176,0.3181
1981,45.7745,97.206,195.0695,28.9875,2.7892,0.2691
1982,125.3388,25.7413,53.0328,101.2806,14.4353,1.4926
1983,612.3071,70.0151,13.7799,26.4491,47.5295,7.2543
1984,282.2831,341.2696,37.2399,6.7778,12.1575,24.3421
1985,86.7495,157.3497,181.579,18.3307,3.119,16.1433
1986,226.1272,48.0964,82.4332,86.4109,8.0153,7.9878
1987,1347.7185,126.1952,25.6766,40.8709,40.197,7.1836
1988,190.7704,758.7328,69.0645,13.4192,20.549,23.3717
1989,38.0526,105.7549,397.34,32.8397,5.8603,18.2653
1990,101.2851,20.8855,53.7912,176.9889,12.9576,8.8175
1991,1611.9584,57.0409,11.4415,28.1701,89.2516,10.7618
1992,143.6018,915.4773,31.991,6.2895,15.2328,53.6587
1993,64.9254,80.9101,502.173,16.7993,3.1843,34.1323
1994,96.2986,36.123,42.819,244.3253,7.5965,16.1101
1995,404.0854,54.3036,19.8618,22.5966,124.5884,11.8524
1996,346.3828,229.0176,30.2813,10.7907,12.0158,71.8144
1997,928.8937,192.1061,120.0903,14.4399,4.733,34.8875
1998,1051.1148,515.7102,101.0406,57.6475,6.398,16.6896
1999,268.4404,592.5089,283.2561,53.2039,29.302,11.4964
2000,676.5816,151.2999,324.6798,147.1617,26.181,19.4335
2001,955.0041,384.5813,84.9877,178.4244,79.1417,24.2086
2002,630.6937,538.2739,210.751,44.1591,87.8165,49.2652
2003,2275.6795,356.4986,297.4647,111.6336,22.4134,67.791
2004,328.1308,1292.992,200.006,163.0221,59.7799,47.5553
2005,623.0192,185.9975,720.4417,107.9344,85.217,55.0096
2006,755.6614,353.1612,103.6439,388.858,56.4363,71.9135
2007,1086.5634,428.6483,197.1927,56.1979,204.7883,66.3412
2008,1372.5435,615.2923,238.143,105.7177,29.0733,137.3785
2009,975.7981,775.7431,339.9181,126.0507,53.5958,81.8715
2010,926.9806,551.8988,429.4501,180.7734,64.3855,67.3874
2011,375.8936,523.0957,303.4943,224.9289,90.1197,63.6388
2012,246.0706,211.7063,286.0163,156.8821,109.7887,72.3962
2013,615.3285,138.8131,116.309,149.4787,77.9376,87.7034
2014,75.4858,349.7861,77.988,63.9427,80.4392,87.9404
2015,1653.0472,42.2154,187.2843,38.3807,28.797,71.4736
2016,173.4445,840.3964,20.896,88.1409,17.1606,43.288
2017,942.0966,87.7415,409.9216,9.5051,37.2947,24.3187

Mature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,30.9209,178.8476,48.4183,5.9569,0.3135,0.3171
1981,8.0838,46.8726,156.3914,27.4254,2.7531,0.2683
1982,22.1349,12.4124,42.5175,95.8225,14.2484,1.4881
1983,108.1336,33.7612,11.0476,25.0237,46.914,7.2325
1984,49.8512,164.56,29.856,6.4125,12,24.2688
1985,15.32,75.8739,145.5758,17.3428,3.0786,16.0946
1986,39.9341,23.1921,66.0885,81.7542,7.9115,7.9638
1987,238.0074,60.8512,20.5855,38.6683,39.6765,7.1619
1988,33.6901,365.8604,55.3705,12.696,20.2829,23.3013
1989,6.7201,50.9949,318.5559,31.07,5.7844,18.2103
1990,17.887,10.071,43.1255,167.4509,12.7898,8.7909
1991,284.6722,27.5051,9.1729,26.652,88.0959,10.7294
1992,25.3601,441.4425,25.6478,5.9505,15.0356,53.497
1993,11.4658,39.0148,402.6028,15.894,3.143,34.0295
1994,17.0064,17.4185,34.3289,231.1586,7.4981,16.0616
1995,71.3616,26.1852,15.9236,21.3789,122.9752,11.8167
1996,61.1713,110.4321,24.2772,10.2092,11.8602,71.5981
1997,164.0428,92.6334,96.2789,13.6617,4.6717,34.7824
1998,185.6271,248.6751,81.0064,54.5409,6.3151,16.6394
