Year,mean,median,q025,q975,q250,q750,q475,q525
1980,27261.982054278094,27186.997067836593,23057.033885226745,31990.12875063383,25671.421327630684,28737.984743931745,27055.606384620474,27327.966886395203
1981,34077.120769858244,33959.5229171719,29057.290173945636,39824.632377256996,32155.415683767278,35870.52734848652,33788.25040234573,34125.13778963381
1982,28789.3140060407,28690.00639343901,24761.329063691883,33255.39308626733,27277.93822615137,30215.86124032717,28569.47077757446,28836.157102228884
1983,35972.02966335237,35908.309266077296,31246.276924094447,41131.01313961948,34247.999294517074,37586.146079058184,35750.19566128001,36047.85158402963
1984,37587.525441477985,37506.44855486232,32831.22698913115,42714.17193941665,35846.16614122887,39239.40122136731,37330.739213827466,37655.459776450094
1985,37261.368184924715,37169.35999470888,32273.7191075641,42716.16162172887,35398.37738927225,39031.035737119426,37012.08690667784,37334.29969796512
1986,33954.00895081461,33879.274234440796,29317.7291166031,38963.44992173549,32286.260720033508,35606.026367424325,33723.31290372363,34026.44183072819
1987,46778.486055689056,46699.66269097643,41040.85462642474,53120.36751251129,44643.455543552554,48792.659670627654,46489.14768844111,46899.38600939175
1988,50025.43250512578,49969.68628056174,43917.84430873697,56681.83546815406,47782.96479199277,52137.86128441985,49734.57307259861,50162.84254502965
1989,44790.08287219736,44699.343019026,38831.75058973963,51334.266628453006,42595.92914305871,46885.84404418086,44488.805970149246,44883.57878260103
1990,36804.110143521684,36703.90661169779,31367.297559470004,42900.45250115744,34765.53715910845,38687.305716616334,36517.06662404374,36880.048612182814
1991,45403.235146277475,45331.742322361606,39790.54873343768,51517.477237152496,43316.40358032585,47393.213033797045,45149.038779514536,45508.3032033334
1992,55647.87106197227,55525.52966335237,49121.03992592429,62871.65997927644,53260.709010339735,57901.71189841046,55314.51861813532,55764.55609691572
1993,52105.69851628123,51980.75354394938,45384.54606583037,59448.21589982142,49655.14010449965,54418.33483983333,51766.689080447104,52193.72120196653
1994,45747.59011442051,45612.44736435989,39817.07323794617,52178.42655261359,43547.256332811565,47868.504596662184,45412.45122246964,45810.08179192663
1995,41088.94598646355,41012.588460944906,36371.108820741196,46297.548446835244,39349.46758085496,42782.88211821248,40855.720474437265,41171.69415110562
1996,31835.108622324125,31814.083202892478,28239.97718203664,35590.194338499525,30502.49123657929,33105.1720716947,31686.997067836593,31924.135783416743
1997,38916.31440287484,38851.66119182522,34152.527613042614,43999.975197865904,37164.92316850019,40643.39491611367,38691.00950197315,39013.39866399171
1998,48252.7515046628,48131.24187041161,42192.49211843294,54981.87239577592,45991.94757380013,50366.57554178884,47937.34980929915,48354.0146387707
1999,48623.67428735201,48497.266253665206,41857.057033885234,56148.28369232126,46127.89082651734,50975.16479640204,48266.84891642232,48713.973522343964
2000,57097.83763971869,56949.77843426884,49664.402323684386,65229.408717123384,54381.90326065389,59668.3954672722,56691.07012941202,57194.09874556317
2001,65691.20276020195,65517.31740117728,58074.734341586016,73958.18911351661,62919.12850812408,68352.39423267709,65263.8754161247,65772.57545360348
2002,67549.18314998127,67449.78945743955,59439.25406203841,76238.56346039374,64619.97618995128,70332.07301748276,67157.79668863953,67719.9122555612
2003,82366.31434775899,82239.63270795211,73231.19722657024,92401.08357768029,78954.8105116956,85636.61566613021,81882.38552437224,82540.0251328292
2004,91742.06785863885,91600.01322780485,81382.7465332128,103077.46257633546,87902.59375206685,95365.63857227893,91239.66302167156,91943.02674221213
2005,98810.39561057343,98546.98075354396,87058.70113979586,111721.13031592408,94518.48034568664,102911.68786789832,98172.92047884654,98965.08686258516
2006,95381.42471174408,95181.5516215084,84089.85537600034,107732.53654181088,91267.4166097136,99351.34151987478,94823.15251658988,95528.20002645561
2007,94897.04227385965,94704.6341409643,83994.44432196477,106550.46407548667,90922.77717762737,98730.84724090037,94338.51606075972,95087.00313058047
2008,99096.22801428603,98878.50261249146,87899.30884719681,111092.61668026191,95119.13291739236,103015.82927313213,98485.06635948764,99218.49853391829
2009,106204.89193985758,106002.39202804296,94334.28591900175,119295.23358098723,101842.99146806588,110377.48848078662,105621.82257104434,106350.31085341386
2010,106408.60122577658,106194.19519830684,94857.82590004189,119160.66822460812,102190.5520403889,110402.56619414009,105830.68409797395,106564.74734892746
2011,102036.57122070593,101816.50830044755,91117.49322075002,114075.95515774156,98081.83050772724,105807.61260168874,101473.80894640533,102180.61189620582
2012,78877.09328909368,78716.90292995877,70348.64359884478,88536.5500782645,75660.56350448643,81915.93730020503,78421.05205141206,78952.79327145661
2013,79091.5761260169,78883.51815516215,70108.11801406556,89464.756167464,75587.3145351529,82340.71518331533,78567.95784739524,79204.14085407526
2014,67916.34287572477,67721.67596287397,59526.350889569876,77463.5160607597,64716.51160739876,70917.73407702992,67450.93035560749,67999.12641372163
2015,72312.95342710377,72073.89933640513,60450.15046628013,85876.08302652174,67744.43881037942,76457.31828303094,71643.46105513789,72465.72896227872
2016,62386.16917260081,62091.2057144117,51507.3772569942,75160.94104808307,58141.217839899466,66250.27557926762,61712.325558323595,62445.76324433961
2017,66273.02357856213,65884.00317467315,53139.41279569655,81898.72461914943,61228.25679578474,70921.45439714279,65398.74115390551,66317.04568001941
2018,62103.295861901715,61440.23236843846,45730.100421085124,82324.23003152628,55509.87676095152,67855.00121254878,60824.7122952446,62022.09870147049
