Year,mean,median,q025,q975,q250,q750,q475,q525
1983,664.5580164,646.218,437.797825,995.6147999999997,562.8715,744.96325,638.256075,653.914175
1984,704.7324492,686.115,473.201175,1041.0744999999997,602.1085,786.99325,677.85805,694.628225
1985,665.8175112,646.5495,432.0241,1006.4857499999999,561.98425,748.3585,638.7325249999999,655.4587
1986,708.1097876,689.8625,473.387075,1046.5855,604.6467499999999,792.4222500000001,681.035075,698.408925
1987,713.4985286,695.145,481.621,1047.2839999999999,611.13875,795.6940000000001,686.3324499999999,703.8911250000001
1988,708.9418012,690.2625,477.77157500000004,1040.8872499999998,606.66425,790.7737500000001,681.4714,698.9611749999999
1989,697.7772566,678.828,463.797325,1037.39975,594.09225,781.24025,669.827675,687.44985
1990,711.7279138,696.0645,488.01712499999996,1025.1037499999998,615.29475,790.65525,687.4492,703.36645
1991,710.0516662,693.6855,484.34727499999997,1029.0547499999998,612.427,789.6105,684.9412,701.4070750000001
1992,717.5517865,700.0129999999999,487.39660000000003,1049.407,617.09825,799.71175,691.3741499999999,707.99965
1993,710.7013699,692.6365,474.42350000000005,1049.5357499999998,607.1089999999999,794.13625,684.3902,701.2222
1994,713.1529526,697.7875,489.4325,1028.6409999999998,616.637,792.157,689.0371,705.0724749999999
1995,685.7789728,669.784,463.8189,996.222275,590.724,763.7244999999999,662.295725,677.624
1996,709.7324552,692.8895,484.40995000000004,1031.7902499999998,611.861,788.5364999999999,684.025175,700.59375
1997,717.6109514,700.601,490.41862499999996,1043.2907499999997,618.9885,797.92375,691.916575,708.587975
1998,719.6070853,702.3245,489.21515,1052.3205,618.839,801.2025,694.256,710.3801250000001
1999,674.8025102,655.7635,450.03937499999995,1007.12075,572.66675,756.47975,648.06315,663.364125
2000,713.9756682,695.1225,483.918675,1048.57,612.25725,796.6645000000001,687.09725,703.88825
2001,713.6518265,696.4655,487.05229999999995,1034.36025,615.123,794.51075,688.3691,704.4284250000001
2002,716.7523043,699.4165,488.282575,1043.5235,617.2295,797.3087499999999,691.17335,707.6577
2003,683.1181107,667.1445,467.170875,987.7179749999997,590.02275,760.3145,659.7485,674.21585
2004,664.6199027,650.067,457.6425,954.291425,574.62475,739.2695000000001,642.709975,656.79565
2005,647.2634015,633.4504999999999,442.37862499999994,928.9543499999997,559.1289999999999,720.37675,626.56695,640.510125
2006,541.092434,529.5725,359.17295,792.8186749999998,462.29475,606.1542499999999,522.5832499999999,535.645275
2007,495.1330311,483.538,319.712025,735.23235,418.09875,557.98875,477.247325,489.605475
2008,457.2428734,445.729,290.86875,685.5017,383.66875,517.4295,440.02295,451.63825
2009,477.0441297,465.827,311.739525,703.1178999999998,404.7805,536.2555,459.9207,472.12095
2010,487.2338595,475.841,320.191075,716.043275,414.03975,547.4022500000001,469.76152499999995,482.009325
2011,468.5758122,457.5015,301.6722,699.533875,395.97475,527.9405,450.611575,463.984125
2012,423.2857437,411.6495,260.35165,651.0551499999998,351.96975000000003,481.14925,405.4337,417.88717500000007
2013,435.9894954,424.40049999999997,272.454825,665.3392249999999,364.4075,493.8875,418.48609999999996,430.712425
2014,473.7323774,461.63300000000004,305.51509999999996,708.5696,401.261,533.6925,455.92875,467.66285000000005
2015,599.8463908,586.6859999999999,410.66105,866.1115499999999,518.6235,667.504,580.003,593.575425
2016,564.780676,552.1315,381.729525,823.303175,486.57625,630.15425,545.613725,559.01995
2017,679.9996626,663.3530000000001,468.443575,979.8757499999999,588.57575,756.44825,656.0103,671.058025
2018,613.5611135,599.835,409.0636,893.0871499999998,528.2747499999999,686.44175,593.0870249999999,607.8006
2019,670.8481197,655.4965,449.25027500000004,976.8448499999997,576.7185000000001,750.92175,647.3669749999999,663.5735999999999
