Year,mean,median,q025,q975,q250,q750,q475,q525
1980,25887.563603694965,25830.26521748716,21738.99336405124,30536.825657532132,24316.39806874049,27343.030049163342,25689.27886417249,25962.027932714565
1981,32306.718115478736,32197.193500738555,27313.98399435614,37995.54663903525,30420.91977336361,34088.38378271126,32029.97475693909,32358.512092418267
1982,25936.020403888975,25869.4525893428,21848.425891223353,30401.461121276923,24403.288211821247,27378.745122246964,25713.604246125353,26000.07440640226
1983,33148.80559536145,33085.33036442602,28368.143587821596,38399.675367622745,31389.746246610375,34798.05551268767,32921.64730263013,33234.581339976634
1984,35011.57538746445,34918.26318922375,30198.959963843998,40202.59209859124,33267.04733349501,36686.57267576445,34759.995260036594,35081.816728763864
1985,33443.26713551886,33354.46107718424,28524.43836945259,38803.85370047841,31610.04431314623,35186.704953812914,33200.798077559026,33531.26722370423
1986,30698.002414074384,30632.564650896184,26014.96946581715,35724.197513172694,29024.559624330344,32331.951762604993,30460.727198571396,30791.719945325072
1987,45007.57396547543,44908.72814656408,39183.943649551366,51485.669878083725,42846.596044886355,47056.15203157036,44715.880530875904,45125.01102317071
1988,46145.94599748672,46065.66502788862,40170.944575497706,52766.16547983862,43903.966136819596,48249.24491280672,45853.604025661945,46281.716417910444
1989,38195.23838708967,38089.574285147384,32426.373487069817,44731.315725655324,36016.2261072775,40211.920456800195,37895.96607068057,38274.485217928086
1990,34152.90520073194,34064.79419740294,28724.630172622852,40344.0304019048,32124.302784452917,36070.98370775371,33875.59525121806,34234.1569479045
1991,44482.87472166494,44402.21345267753,38823.41156110144,50632.42134967702,42385.9101832051,46482.20309089707,44222.761745188385,44589.7120747812
1992,53476.19676359708,53353.96503450253,47043.55805904011,60682.92676205384,51089.47507661104,55710.44335192575,53145.28538988954,53576.62757115457
1993,46675.41054696973,46523.01638043167,40302.101016336346,53651.03397341211,44311.02427302189,48923.67005445447,46317.99918428536,46731.95506955621
1994,42256.80374346877,42144.99878745122,36382.5398487621,48719.9453250733,40048.557066954745,44376.47434908177,41925.0451949999,42338.33969002844
1995,38992.1391124143,38915.54046605966,34288.96690844155,44188.66983399104,37248.80949756388,40686.936440397716,38758.58704997906,39087.59562600586
1996,26969.32906369188,26934.070416014463,23462.80782204193,30662.875614541765,25673.15747701669,28228.052867126702,26819.6747062325,27058.466897418377
1997,34711.57274190348,34640.25882404815,30107.31332260411,39677.84783615159,32988.133556736255,36359.81833814678,34490.68266496175,34803.46513371107
1998,45549.82495204921,45431.88782821491,39668.31003769925,52125.92594633921,43330.320333340685,47605.57441742543,45241.97788751956,45621.46431799643
1999,44041.625631076524,43904.07636852664,37551.46167243546,51265.65290240085,41635.14958442647,46268.24334751648,43684.40111113561,44117.47117440861
2000,54341.47345620494,54183.293282479775,47029.33541303821,62336.95077051962,51661.68786789832,56894.304327696824,53931.11069468022,54399.077360612006
2001,58049.33474062479,57871.37062104544,50511.03143808284,66264.71042130559,55320.33334068211,60709.94730924403,57621.43124848431,58129.86397407351
2002,61368.359267179614,61273.61714323508,53335.70790802266,69984.91754668312,58479.518948830446,64134.84644723208,60999.713397561674,61541.562865142536
2003,78523.56757203642,78393.9240283075,69421.31109592362,88605.18033907273,75113.152847285,81787.95828832206,78071.68092330078,78719.87643025641
2004,85721.13058048017,85548.95390110012,75543.72616239334,96913.55629533278,81954.73886108599,89325.3819528649,85189.8327785004,85880.13404175578
2005,91624.30268524439,91386.27394783836,80046.35243281377,104395.29365726757,87403.43702462576,95636.28497100907,90995.07264269494,91757.07411979983
2006,88341.61557794485,88172.19294958003,77103.14656407769,100564.87411539056,84211.2370202165,92321.23172909456,87774.64780969598,88537.60279106682
2007,86765.52996097798,86572.12460592165,76079.15187724598,98373.49258140613,82812.69979496903,90552.67422121298,86200.93862298553,86939.1162724046
2008,89789.53405057431,89551.13648889968,78838.53810710114,101515.60605392535,85898.60887585705,93620.06437531691,89192.4866068476,89911.25245265549
2009,97189.29535483586,97001.91803170263,85638.38764082102,109886.88573381248,92939.35602636743,101207.39544522588,96642.64258471306,97367.01922440971
2010,95032.03802993894,94786.31583588704,83862.28201679929,107376.16570030204,90937.71357393239,98895.89166427832,94429.23951145308,95162.61657003022
2011,88895.51622610728,88679.31391785534,78399.55686853766,100643.92953989284,84999.44884146476,92535.27414625544,88336.95077051963,89010.32044357239
2012,69297.4353160343,69128.12231310214,60886.965651800085,78798.03622213894,66069.71604312265,72283.50492735731,68824.39537908684,69405.60307766926
2013,74757.01126568046,74582.22183028726,65744.35889239181,85126.11609603386,71269.9794969025,78003.04239511453,74225.90886042462,74885.2487929628
2014,55061.301241209025,54826.10948213143,46773.25889018718,64552.960823651316,51883.85987345401,58046.005202936576,54561.010494058515,55138.481337772
2015,66798.84413236624,66554.54264864745,55261.65700302035,80079.93176657333,62284.00097003902,70869.03922044137,66142.5351087987,66967.11512599484
2016,56684.8644260235,56394.431094159925,46477.85996163937,68894.41731519655,52672.650411164264,60331.10849004607,56037.04336515355,56746.23283141163
2017,58081.25417227011,57650.90720694901,45422.283890738334,73259.5791353425,53144.71769659825,62491.705064044625,57243.777420137136,58077.4928900549
2018,60318.56518000838,59670.35208007231,43880.721025595805,80561.99982362927,53763.834079234555,66082.88873211491,59058.428316320904,60250.77713353469
