Year,mean,median,p025,p975,p250,p750
1980,2.039217776,2.029195,1.3524619897297938,3.077736902325787,1.7604901068637036,2.3417654132292722
1981,2.599529445,2.5906450000000003,1.7270556173222695,3.9072360307615424,2.245597917340137,2.974942420071391
1982,2.130719276,2.124105,1.4053078747883796,3.178906849695677,1.8474868375509865,2.4436136283847474
1983,2.758508122,2.75124,1.8530166560361767,4.067901420572601,2.3995600411848144,3.1554379150916776
1984,2.821170541,2.81309,1.8946492551825485,4.208777474811351,2.4494167861651404,3.243351235983498
1985,2.993750486,2.98577,1.9998965959911497,4.4971655040108125,2.5959673421742204,3.437173043870578
1986,2.786175455,2.7804599999999997,1.867491455907092,4.174471816661433,2.4250648853027723,3.1668542818965566
1987,4.006170055,3.997655,2.650919254544276,6.104163141840382,3.470802321995042,4.6074849231750665
1988,3.971443267,3.96081,2.52306191591188,6.246012077737115,3.3928769069127416,4.630267330655692
1989,3.301737771,3.28837,2.199693896030956,4.947496557899796,2.8729189108806064,3.773673617621533
1990,3.073000401,3.061205,2.066744177604286,4.4996398606921595,2.666582506499669,3.4913940147786486
1991,3.877088079,3.867685,2.3793556536977443,6.305488882548705,3.2727330220086044,4.5776495932322785
1992,4.582937981,4.57559,3.006637505665451,6.946143587975018,3.9588491259259397,5.2887361093062335
1993,3.988336836,3.9793000000000003,2.5403149987914753,6.230234445168595,3.4304910075437505,4.636670067704105
1994,3.771809669,3.761825,2.5502442362144957,5.578583431971872,3.286068432691668,4.29557681791392
1995,3.529629408,3.525245,2.2986583119793034,5.46336678485243,3.044805834667642,4.093730897927995
1996,2.342083986,2.3385800000000003,1.517152695189478,3.5962540075128735,2.0167011631849223,2.706297363540254
1997,2.887981102,2.87977,1.7035386904744958,4.886540892455304,2.401559825880965,3.4384027109520767
1998,3.575164427,3.55847,2.3967183143178015,5.251240667364918,3.1096804210236604,4.068828331215736
1999,4.359585044,4.342895,2.6041169272118676,7.353409913835181,3.659131782931256,5.226562724226351
2e3,5.338689174,5.32306,3.3083689108301035,8.63298106322388,4.5266722000130235,6.288268538600172
2001,5.641648522,5.62869,3.8895539223813618,8.064783255023592,4.961304636515807,6.387337662901562
2002,5.961449047,5.944515,4.028995622104872,8.80085690362369,5.207702276101462,6.7929614926726885
2003,6.538900117,6.5270150000000005,4.377369329276056,9.795012199814302,5.681925388567105,7.492531861850667
2004,7.149328112,7.13342,4.893000736612994,10.314115527151813,6.294921091794066,8.138341406215838
2005,7.611528875,7.59436,3.9313000378635827,14.621985960695675,6.059826841440546,9.518513323548568
2006,7.250612354,7.2321349999999995,4.821888977113546,10.89090799404648,6.2774829404355925,8.326559553273665
2007,7.154860502,7.14287,4.805508537814089,10.768558047787968,6.210950312982325,8.221844231264004
2008,7.451217106,7.436365,2.2598172969865873,24.517904251663094,4.954515294474694,11.21274909301594
2009,8.130974972,8.11619,5.337845138117652,12.301126239611639,7.020315235820366,9.379266171784554
2010,7.885516303,7.864185,4.9253437419893364,12.489264108718416,6.6831338379927825,9.251287546182134
2011,7.393443434,7.378565,5.281807167622948,10.312812699527488,6.545530815089824,8.299722976232951
2012,5.677114555,5.67058,3.980330892043476,8.086666511985307,5.009695372827823,6.437727712913904
2013,6.217963379,6.2099899999999995,4.009210546508095,9.707501169197927,5.359793341068085,7.202235782555952
2014,4.611779021,4.602765,3.293389003762775,6.359503976087665,4.108370080984193,5.1604722710255855
2015,5.018223054,5.006585,3.6946634102225224,6.85819553814372,4.498350476649007,5.582119534835783
2016,4.259879826,4.250225,2.806885712119443,6.442639373430905,3.7031179780425685,4.9141046090586995
2017,4.448245374,4.423895,2.7186615136299945,7.115163601600582,3.734786467184873,5.225649875380415
2018,4.62698509,4.579395,2.5515076953911793,8.080420488411043,3.70922870356564,5.545842494723686
