Age,Blocks,mean,median,q025,q975,q250,q750
3,1980-1998,0.4411901088,0.441118,0.40235295000000004,0.48029877499999996,0.4276645,0.45468975
3,1999-2014,0.6144777513,0.615014,0.5710582,0.6544306,0.6002292499999999,0.62944275
3,2015-2018,0.5021696117,0.501763,0.43713967499999995,0.5670392,0.47973,0.52472125
4,1980-1998,0.4411901088,0.441118,0.40235295000000004,0.48029877499999996,0.4276645,0.45468975
4,1999-2014,0.6144777513,0.615014,0.5710582,0.6544306,0.6002292499999999,0.62944275
4,2015-2018,0.5021696117,0.501763,0.43713967499999995,0.5670392,0.47973,0.52472125
5,1980-1998,0.4411901088,0.441118,0.40235295000000004,0.48029877499999996,0.4276645,0.45468975
5,1999-2014,0.6144777513,0.615014,0.5710582,0.6544306,0.6002292499999999,0.62944275
5,2015-2018,0.5021696117,0.501763,0.43713967499999995,0.5670392,0.47973,0.52472125
6,1980-1998,0.4411901088,0.441118,0.40235295000000004,0.48029877499999996,0.4276645,0.45468975
6,1999-2014,0.6144777513,0.615014,0.5710582,0.6544306,0.6002292499999999,0.62944275
6,2015-2018,0.5021696117,0.501763,0.43713967499999995,0.5670392,0.47973,0.52472125
7,1980-1998,0.4411901088,0.441118,0.40235295000000004,0.48029877499999996,0.4276645,0.45468975
7,1999-2014,0.6144777513,0.615014,0.5710582,0.6544306,0.6002292499999999,0.62944275
7,2015-2018,0.5021696117,0.501763,0.43713967499999995,0.5670392,0.47973,0.52472125
8,1980-1998,0.4411901088,0.441118,0.40235295000000004,0.48029877499999996,0.4276645,0.45468975
8,1999-2014,0.6144777513,0.615014,0.5710582,0.6544306,0.6002292499999999,0.62944275
8,2015-2018,0.5021696117,0.501763,0.43713967499999995,0.5670392,0.47973,0.52472125
