Year,mean,median,p025,p975,p250,p750
1980,1.583107887,1.578165,1.045219837835595,2.3680062570609284,1.3693208743890266,1.817355020393499
1981,2.279502254,2.27172,1.5282017727142392,3.4222652434297456,1.9784467725901118,2.601741510495451
1982,1.820936901,1.8146200000000001,1.2067874045217695,2.7307455348010112,1.5745735638384044,2.0893950232078677
1983,2.009382165,2.0025950000000003,1.344309051944364,2.9817114094847055,1.7428391958848792,2.2989338398307506
1984,2.776676758,2.76715,1.8237683852946212,4.136995665499086,2.4042655941727515,3.213505166896497
1985,3.172930543,3.162485,2.1141316292776815,4.82084637667851,2.7423360213491694,3.6557703224755036
1986,2.842606104,2.832675,1.889802897154741,4.262374807961849,2.4595892464060745,3.2411596100377738
1987,2.988649126,2.98087,1.9606831681929662,4.520919010419142,2.580410312102364,3.4528048462803738
1988,3.78618177,3.7764550000000003,2.409352204463282,5.9356607945533035,3.251892772560687,4.41117816717872
1989,2.752237607,2.74199,1.837515155354349,4.1077770782376595,2.377031076747244,3.1575270921507452
1990,2.569863345,2.5611949999999997,1.7172487367289029,3.797778156422696,2.229442164779533,2.9260706672784864
1991,2.359492506,2.3519699999999997,1.4367368907477671,3.869685978615811,1.9787610802273226,2.8013652422898074
1992,3.955277072,3.9495050000000003,2.6096272403066316,6.018658460683833,3.421352647154419,4.564818471144111
1993,3.086145401,3.0773099999999998,1.9629845022126866,4.83582768137484,2.656801842813609,3.594583660457298
1994,2.925759008,2.9158,1.9656609445300945,4.338139174133515,2.5408265917664634,3.336127247786705
1995,3.167633155,3.157425,2.031996028644375,4.909167652457403,2.7247981726119326,3.686680014238585
1996,2.918369489,2.909165,1.8720298053448088,4.515244450193835,2.501012267985789,3.3782662191438355
1997,3.241913491,3.2308,1.8962336320576487,5.4849108965786195,2.682742401222427,3.877758689289118
1998,4.732217097,4.718655,3.2018124492681626,6.916324988157137,4.13953656931877,5.366041857150873
1999,5.56227086,5.542515,3.3389501744865653,9.289392236057314,4.701661133031296,6.626309252473594
2000,5.769218292,5.75997,3.556806573185584,9.307401245350576,4.88019372722403,6.798672244931705
2001,5.750747618,5.73655,3.959304298124571,8.267230889701302,5.0512221537683315,6.506761392086245
2002,6.384722471,6.369505,4.322788131085864,9.489439706214057,5.570314983899714,7.278088924319895
2003,6.131347158,6.11229,4.071158158363722,9.150299309927957,5.310094033798778,7.050531031641309
2004,7.57492801,7.5599799999999995,5.240719722021531,10.96326485726696,6.674417833211796,8.595301696808892
2005,7.071049169,7.057235,3.6627867101279894,13.587051178258159,5.596795773903279,8.87784406667184
2006,6.523878435,6.51048,4.291303906705622,9.823514978530346,5.6445825353684755,7.510939598531774
2007,6.969593886,6.954665,4.62265270805231,10.48048819478926,6.05712398387471,8.010322464364883
2008,7.727172873,7.71106,2.3504700545443558,25.37910204305907,5.103930147591999,11.668381127576868
2009,8.885302219,8.8688,5.825877255156189,13.52912940446753,7.6489029231673955,10.250796385642596
2010,8.209562622,8.20113,5.101724109921187,13.039178906464734,6.949927486031347,9.606519924629675
2011,7.796762377,7.790285,5.501325967331737,10.852889494494164,6.9092859316107385,8.768268955723691
2012,5.846838634,5.83781,4.090864739093516,8.384488423898633,5.164040779683032,6.606537870767132
2013,6.373685324,6.36223,4.099148100299027,9.838688141361752,5.480400471942131,7.416813538309465
2014,5.404337614,5.39142,3.877819363890331,7.482624843495575,4.828416925069987,6.027115593407115
2015,4.433040903,4.423495,3.2821479311840953,5.963872654214532,3.998635149342644,4.915091650710398
2016,5.942122183,5.90826,3.9184594452678874,8.961522466268239,5.140226618561176,6.877893737499874
2017,6.123781108,6.088035,3.8192075294976005,9.701022517682295,5.16119754901088,7.163975581868673
2018,10.066110187,9.990635000000001,5.666910226062027,17.412503013321267,8.202860727634683,11.993107132379926
