Year,mean,median,q025,q975,q250,q750,q475,q525
1980,0.13126795378,0.130846,0.10567734999999999,0.16119249999999996,0.12157024999999999,0.14054925000000001,0.129931575,0.131637375
1981,0.09461761772,0.094078,0.07822244000000002,0.1142044,0.08763552499999999,0.10108225000000001,0.093420065,0.09467981750000001
1982,0.1759331357,0.175348,0.14451895,0.2113611,0.16424149999999998,0.18693175,0.17419505,0.1762877
1983,0.2039420327,0.20328049999999998,0.1670043,0.2448232,0.19003275,0.21775,0.201918575,0.204557275
1984,0.13963784348,0.13915450000000001,0.11512125,0.16675817499999998,0.13054,0.14798125,0.1383291,0.140007
1985,0.1906480405,0.18947750000000002,0.15535934999999998,0.23075805,0.17784725,0.20275175,0.188368525,0.190686425
1986,0.1921540832,0.19099549999999998,0.1562522,0.23795215,0.177907,0.20432075,0.189822525,0.192217475
1987,0.13439075672,0.134206,0.11093375,0.160318,0.12535449999999998,0.14286625,0.133377525,0.134926475
1988,0.1637496941,0.16347050000000002,0.13438825,0.1938992,0.15355575,0.173978,0.162523525,0.164359475
1989,0.3056307495,0.30393950000000003,0.25337365,0.36863644999999995,0.2852355,0.3236565,0.30199952500000005,0.30571575
1990,0.14600552587,0.14489400000000002,0.1194079,0.179183125,0.135277,0.15565025,0.14397005000000002,0.145852475
1991,0.07839743371,0.0779919,0.065725395,0.0930056375,0.073745425,0.0827537,0.07750883,0.0784210175
1992,0.0846666214,0.08446875000000001,0.07007490250000001,0.10019505,0.079610925,0.08972979999999998,0.08398115250000002,0.08494399
1993,0.2188880118,0.2174315,0.18127305,0.262346325,0.20398175,0.2325685,0.21616609999999997,0.218942
1994,0.1511481795,0.150334,0.125703375,0.18107005,0.1411745,0.1600635,0.14940515000000001,0.151265175
1995,0.10460963534,0.104274,0.08585082000000001,0.12502924999999998,0.0980195,0.11081175000000001,0.103708525,0.104838475
1996,0.2744720022,0.2732365,0.22898695,0.326597425,0.25636425,0.291271,0.2717264,0.2749409
1997,0.3046065692,0.30343,0.2541497,0.36488212499999995,0.28479625,0.322978,0.30160005,0.305165975
1998,0.14615264595,0.1454025,0.120165525,0.17580922499999999,0.136421,0.15500425,0.14444305,0.14638447499999999
1999,0.1875052596,0.186781,0.15464465000000002,0.22329444999999998,0.17542675,0.19874075,0.1855432,0.187910475
2000,0.09495080853,0.0943541,0.0799378975,0.11424797499999999,0.0885321,0.10047975,0.0938068675,0.0949049225
2001,0.2260560899,0.224754,0.18809785,0.2709213749999999,0.2116115,0.23903025,0.22346335,0.225933475
2002,0.1713129258,0.1700275,0.14184860000000002,0.20841474999999995,0.15980575,0.18132325000000002,0.16901605,0.171082475
2003,0.10921406611,0.1088425,0.09062967999999999,0.13065929999999998,0.10245275000000001,0.1152595,0.108288525,0.109408425
2004,0.12098273701,0.120649,0.10089325,0.1432173,0.11344974999999999,0.12810825,0.119908525,0.12129442500000001
2005,0.1423253178,0.141764,0.11862382499999999,0.1693297,0.13314625,0.15119575,0.14085762500000001,0.142606225
2006,0.1382624802,0.137789,0.11644075000000001,0.16352709999999998,0.1297275,0.14613774999999998,0.13705610000000001,0.13857195
2007,0.1548852169,0.154281,0.12992527499999998,0.184612125,0.1447095,0.16409724999999997,0.153351,0.1551449
2008,0.1713468365,0.170643,0.14163060000000002,0.20468115,0.1604385,0.1816205,0.169627825,0.17167490000000002
2009,0.1490814684,0.1486365,0.12450987499999999,0.176495375,0.139403,0.157983,0.14774305,0.149518475
2010,0.1857085126,0.18498150000000002,0.15604087500000002,0.21972105,0.17446625,0.195913,0.18397215,0.18591785
2011,0.208388231,0.20759450000000002,0.175510525,0.24522734999999998,0.19615825,0.21989025,0.206424575,0.208768475
2012,0.1993732257,0.19842549999999998,0.16595782499999998,0.23703174999999996,0.18692,0.21127374999999998,0.19727072499999998,0.199524325
2013,0.08726340181,0.08677905,0.072858135,0.10370515000000001,0.08177625,0.092481925,0.086339715,0.0872557725
2014,0.2850462865,0.2833655,0.2381527,0.34098369999999995,0.26670375,0.301955,0.281529825,0.285098425
2015,0.1799343484,0.1796105,0.143979575,0.21705607499999996,0.16723924999999998,0.19249550000000001,0.178330575,0.18080970000000002
2016,0.147706235,0.1470745,0.11863245,0.17970064999999996,0.13692425,0.15781850000000003,0.14602215000000002,0.14802885
2017,0.2534528921,0.252689,0.19416445000000002,0.32075905,0.2306975,0.273758,0.25075915,0.254744375
2018,0.04945300685,0.04867985,0.035396105000000004,0.06833387999999997,0.04372229999999999,0.054322375,0.04823286,0.04914510750000001
