Year,Age,mean,median,q025,q975,q250,q750
1980,3,0.05448165738,0.05353815,0.009944673882293156,0.2110571553988927,0.029856472045113575,0.08720549367714274
1981,3,0.015005875062,0.014702650000000001,0.002914821863271771,0.05847849849470835,0.007819435428463271,0.022252927342603302
1982,3,0.05226175643,0.05147955,0.010864195390102914,0.17366113726018084,0.028126804768549903,0.0744835357305684
1983,3,0.15631109991,0.1554235,0.037556681962160054,0.3940045898645103,0.09069339582432243,0.20605384773363236
1984,3,0.06165360121,0.060886449999999995,0.012496179257090586,0.20677008649745382,0.03386289232726153,0.08950708775718536
1985,3,0.02761970194,0.027144099999999997,0.0056951677004526136,0.0949826553727765,0.014991400077419762,0.03928598307001413
1986,3,0.0697327509,0.0687933,0.014933997628016414,0.21043550248053058,0.038160297941437854,0.09543074500712401
1987,3,0.17818486192,0.177446,0.0444200867274013,0.4402363163357194,0.1048577858463016,0.23653022264164902
1988,3,0.03111650094,0.03067395,0.006114648760807061,0.11410803320316869,0.016795714627531468,0.046910524752662074
1989,3,0.012464552979,0.0122074,0.0024391016476018115,0.04646581390767867,0.006617613769222322,0.01817828629904823
1990,3,0.03374091702,0.0332138,0.006848240213348434,0.1139369875582901,0.018113649187779215,0.047401840958194635
1991,3,0.196673179,0.195873,0.047403361559779394,0.4550930574053273,0.11534829769222031,0.25807176650558583
1992,3,0.02258607157,0.02221685,0.004371890793060196,0.0852617886621404,0.011929359334972602,0.0341247983113771
1993,3,0.015056054984,0.01478575,0.003016794760891773,0.05502817223622438,0.008034300057595433,0.022020249927552
1994,3,0.02850794407,0.028017399999999998,0.005632464508360011,0.09770117407567251,0.015358926886917292,0.040563367681853243
1995,3,0.09286543909,0.09189395,0.02072653663945803,0.2681417217883843,0.05183803844943646,0.12672600984342464
1996,3,0.07325541136,0.07226145,0.0155414671764782,0.22969977304383346,0.040446405670293624,0.10304725706244455
1997,3,0.12675965886,0.1256005,0.028411447767761708,0.35230442443216753,0.07083713344886818,0.1717573617093439
1998,3,0.09165213139,0.09071995,0.019751331396615168,0.27382604159916907,0.049424813979948995,0.12946969000803937
1999,3,0.02726090678,0.026823149999999997,0.005545028453471771,0.09452467468527485,0.014626671948363597,0.038959136486793666
2000,3,0.05598555572,0.055332099999999995,0.012057757482813732,0.17739276805572257,0.03011048144696499,0.07703417938323504
2001,3,0.06988106469,0.06910555,0.015458891411890935,0.20383467016177614,0.03772945103468152,0.09463855429015675
2002,3,0.05104771838,0.05038495,0.011055459397153754,0.162603974576519,0.027626080489257854,0.07026420645181754
2003,3,0.10839582716,0.107587,0.024720565500548422,0.29163750530998694,0.06091947074856556,0.14696418381849674
2004,3,0.021731965,0.02136615,0.00428662796898149,0.07791516545853439,0.011443866312699686,0.03138826496754438
2005,3,0.04108181271,0.04039265,0.008329297006969221,0.1404536252905402,0.022276968051414166,0.05793950107451967
2006,3,0.05359789588,0.052933,0.011337528403632781,0.16680356985713232,0.02870517410852088,0.07256281836436657
2007,3,0.06917880226,0.06836855,0.01519151238432656,0.20474899228116425,0.03742087239329638,0.09392865774150266
2008,3,0.0730122294,0.07218759999999999,0.015438091649603601,0.22550963588145304,0.03951214134592184,0.10062769537431365
