MODEL RESULTS

Report produced by model_selection.R
Contact: Sherri.Dressel@alaska.gov or Jane.Sullivan1@alaska.gov
HER_condCatch.24_133

Model structure
Survival time blocks:,1980-2018
Maturity time blocks:,1980-1998; 1999-2014; 2015-2018
Selectivity time blocks:,1980-1998; 1999-2014; 2015-2018

Model diagnostics
Number of parameters:,63
Negative log likelihood:,-1195.7
Maximum gradient compoent:,5.99543072442823e-05

Forecast
Mature biomass forecast (tons):,82622.7
Threshold placeholder, TODO
GHL (tons):,16524.5
Harvest rate:, 0.2

Forecast values by age
Age,Mature and immature numbers-at-age forecast (millions),Mature numbers-at-age (millions),Proportion mature numbers-at-age,Weight-at-age used in forecast (g),Survival,Maturity,Selectivity
3,669.9291,74.9364,0.109894950983383,80.5,0.561749083177954,0.127,0.0765
4,312.0343,200.3883,0.293871368335594,95.9,0.561749083177954,0.3391,0.2774
5,167.6037,223.0625,0.32712330060866,100.8,0.561749083177954,0.6442,0.6403
6,13.7261,26.1693,0.0383775300223848,126.8,0.561749083177954,0.8647,0.892
7,63.0515,136.1264,0.199630674218996,151.4,0.561749083177954,0.9575,0.9745
8+,9.4726,21.2083,0.031102175830983,155.2,0.561749083177954,0.9876,0.9944

Catch and biomass time series
Year,Mature biomass (tons),Spawning biomass (tons),Catch (tons),Mature and immature age-3 abundance (recruitment in millions)
1980,24274.9185387685,19889.9185387685,4385,186.9508
1981,30122.5532970304,26616.553274984,3506.00002204634,49.075
1982,24481.1501576313,20118.150201724,4362.99995590732,134.23
1983,29940.5644965718,24490.5644965718,5450,658.2454
1984,34287.4545294208,28457.4545294208,5830,302.9621
1985,35083.3119116383,27608.3119116383,7475,92.6905
1986,30445.3453559382,25002.3454000309,5442.99995590732,242.3428
1987,39716.8018474834,35500.8018254371,4216.00002204634,1455.2593
1988,47873.9866399171,38298.9866399171,9575,205.6218
1989,42612.0085319341,30477.0085319341,12135,41.2808
1990,32089.0802266364,28285.0802486827,3803.99997795366,109.2898
1991,38631.9465817148,36723.9466258074,1907.99995590732,1752.3098
1992,55670.1279790119,50302.1280231046,5367.99995590732,155.1327
1993,53368.2745430896,43182.2745210432,10186.0000220463,69.9887
1994,44493.5221235036,39606.6121387156,4886.90998478802,103.866
1995,41975.1048303534,38997.2048546044,2977.89997574902,435.2697
1996,37453.2812672237,29204.1312639168,8249.15000330695,375.3629
1997,50648.5262020768,39394.0061509293,11254.5200511475,1011.8184
1998,73637.1388258119,66850.5788266937,6786.55999911815,1145.5638
1999,51963.4627086135,42542.0026896536,9421.46001895985,291.457
2000,59867.7082828105,55248.3382570163,4619.37002579422,738.1185
2001,67401.2861835578,55341.2861835578,12060,1043.6459
2002,68667.9762560903,58732.4762450671,9935.50001102317,690.6379
2003,85159.2097488922,78203.0997156022,6956.11003328998,2492.6719
2004,95641.2413192531,85024.6513371106,10616.5899821425,358.462
2005,103898.662228003,92378.3321942724,11520.3300337309,678.8258
2006,99091.81518552,89022.3851936771,10069.4299918429,820.8443
2007,96065.9300249124,84303.6799753081,11762.2500496043,1179.5804
2008,99376.1564408386,84815.7564099738,14560.4000308649,1486.7879
2009,107117.389051787,92242.8990938954,14874.4899578915,1054.1312
2010,107654.388654953,89690.8986088759,17963.4900460769,1002.0194
2011,102622.973500298,83083.7534998567,19539.2200004409,402.6382
2012,78005.3467889504,64696.8367909345,13308.5099980158,260.5629
2013,75271.1216076192,69485.4015741088,5785.72003351044,639.2753
2014,61305.5615203157,44228.1714764435,17077.3900438722,88.0755
2015,65651.2726250579,56795.4425803038,8855.83004475407,1818.6492
2016,63598.2001366873,53542.7401397738,10055.4599969135,188.7464
2017,74376.6749707886,60313.7549328689,14062.9200379197,1128.3268
2018,76747.7732092859,73738.6831720276,3009.09003725832,1055.3831

Mature and immature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,186.9508,390.0033,62.6599,6.3912,0.3238,0.3183
1981,49.075,102.1363,202.3208,29.7108,2.7955,0.2682
1982,134.23,27.1352,54.8656,103.5245,14.5782,1.4728
1983,658.2454,73.7577,14.3159,27.0002,47.9201,7.2076
1984,302.9621,360.9119,38.6674,6.948,12.238,24.1389
1985,92.6905,166.1321,189.2738,18.781,3.1529,15.8548
1986,242.3428,50.5799,85.887,89.0569,8.1176,7.7873
1987,1455.2593,133.0569,26.6223,42.05,40.9048,7.0476
1988,205.6218,805.4915,71.6876,13.7088,20.8268,23.2958
1989,41.2808,112.1951,416.3154,33.7109,5.92,18.1369
1990,109.2898,22.3227,56.4595,184.215,13.2291,8.7469
1991,1752.3098,60.523,12.0444,29.163,91.6562,10.7169
1992,155.1327,977.8768,33.3754,6.5132,15.5136,54.0298
1993,69.9887,85.9376,528.1041,17.273,3.25,33.953
1994,103.866,38.3267,44.8897,254.2651,7.7343,15.9055
1995,435.2697,57.5879,20.75,23.3552,127.8636,11.6561
1996,375.3629,242.4329,31.5837,11.0938,12.2209,72.2555
1997,1011.8184,204.8816,125.4251,14.8852,4.8072,34.7079
1998,1145.5638,552.9107,106.3573,59.5608,6.5257,16.4659
1999,291.457,634.9142,299.0248,55.2103,29.852,11.2888
2000,738.1185,161.2746,342.6284,153.7993,26.8249,19.1316
2001,1043.6459,411.9944,89.0791,185.5608,81.4326,23.9025
2002,690.6379,577.7107,222.5596,45.9228,90.5119,49.2797
2003,2492.6719,383.3838,314.4572,116.7007,23.0489,67.7936
2004,358.462,1390.9645,211.6118,170.0434,61.6351,46.9835
2005,678.8258,199.5307,762.664,112.7682,87.6713,54.5384
2006,820.8443,377.8348,109.387,406.2979,58.1112,71.391
2007,1179.5804,457.269,207.6051,58.565,211.0998,65.6209
2008,1486.7879,656.0411,250.1606,110.0882,29.949,137.738
2009,1054.1312,825.2609,357.0031,131.0994,55.2017,80.7049
2010,1002.0194,585.4204,449.7295,187.6859,66.0869,66.0865
2011,402.6382,555.1673,317.0111,233.1116,92.3924,62.318
2012,260.5629,222.6454,299.0489,162.3833,112.4764,71.1092
2013,639.2753,144.3238,120.4734,154.745,79.7079,86.3813
2014,88.0755,356.8635,79.7403,65.2888,82.0212,86.4473
2015,1818.6492,48.3576,188.5512,39.0822,29.191,69.5175
2016,188.7464,1009.5775,26.0035,95.4685,18.9372,47.0042
2017,1128.3268,104.5938,539.3139,12.954,45.1736,30.5686
2018,1055.3831,623.9272,55.4247,263.3219,5.9507,34.0063

Mature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,30.7368,173.5517,47.9764,5.9447,0.3179,0.3169
1981,8.0685,45.4507,154.9096,27.6353,2.7449,0.267
1982,22.0689,12.0752,42.0086,96.2924,14.3144,1.4662
1983,108.2228,32.8222,10.9611,25.114,47.0528,7.1752
1984,49.8103,160.606,29.6062,6.4626,12.0165,24.0303
1985,15.2393,73.9289,144.92,17.469,3.0958,15.7835
1986,39.8438,22.5081,65.7605,82.8355,7.9707,7.7523
1987,239.2606,59.2104,20.3837,39.1124,40.1645,7.0158
1988,33.8065,358.4441,54.8886,12.7511,20.4498,23.1909
1989,6.787,49.9269,318.7575,31.3559,5.8128,18.0552
1990,17.9684,9.9336,43.229,171.346,12.9897,8.7076
1991,288.0989,26.9328,9.2219,27.1257,89.9975,10.6686
1992,25.5055,435.1557,25.5543,6.0582,15.2328,53.7865
1993,11.5069,38.2423,404.3499,16.0664,3.1911,33.8002
1994,17.0767,17.0554,34.3704,236.5025,7.5944,15.8339
1995,71.5631,25.6267,15.8875,21.7237,125.5496,11.6036
1996,61.7138,107.8828,24.1825,10.3188,11.9997,71.9302
1997,166.354,91.1724,96.0334,13.8453,4.7202,34.5516
1998,188.3432,246.0455,81.4339,55.4,6.4076,16.3917
1999,22.4265,136.8955,142.173,41.3694,27.1022,10.9518
2000,56.7953,34.7728,162.9046,115.2426,24.3539,18.5605
2001,80.3044,88.8312,42.3532,139.0416,73.9313,23.189
2002,53.1418,124.5617,105.8172,34.4101,82.1743,47.8087
2003,191.8012,82.6624,149.5105,87.4444,20.9258,65.7699
2004,27.5822,299.9094,100.612,127.4143,55.9576,45.581
2005,52.2329,43.0213,362.6129,84.4977,79.5953,52.9104
2006,63.1607,81.4659,52.0086,304.4409,52.7583,69.2599
2007,90.764,98.5929,98.707,43.883,191.6542,63.662
2008,114.4024,141.4507,118.9403,82.4896,27.1903,133.6264
2009,81.1112,177.9366,169.7391,98.2334,50.1168,78.2958
2010,77.1014,126.224,213.8264,140.6339,59.9993,64.1138
2011,30.9814,119.701,150.7247,174.6716,83.8816,60.4577
2012,20.0493,48.0051,142.1845,121.6746,102.1156,68.9866
2013,49.1897,31.118,57.2797,115.9511,72.3655,83.8027
2014,6.7771,76.9442,37.913,48.9212,74.4658,83.8668
2015,230.9051,16.3999,121.4709,33.7935,27.9514,68.6546
2016,23.9642,342.3859,16.7523,82.5497,18.133,46.4207
2017,143.2582,35.4717,347.4439,11.2011,43.2552,30.1891
2018,133.9969,211.5973,35.7064,227.6889,5.698,33.5842

Spawning numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,25.6067,143.7152,38.2071,4.5299,0.2365,0.2336
1981,7.2988,40.9848,136.8808,23.8763,2.3432,0.2269
1982,19.1406,10.4248,35.2081,78.074,11.4004,1.16
1983,92.4643,27.8993,9.0138,19.8997,36.5414,5.5305
1984,42.5928,136.635,24.3723,5.1273,9.3452,18.5491
1985,12.5901,60.6908,114.1832,13.1388,2.2701,11.4643
1986,34.3658,19.3206,54.7299,66.5963,6.2894,6.0745
1987,217.9186,53.7702,18.1654,34.1377,34.668,6.0307
1988,27.9119,294.0677,43.2123,9.5809,14.9794,16.8256
1989,5.2446,38.2397,230.3774,21.1951,3.7861,11.5961
1990,16.4202,9.052,38.6848,150.2953,11.2726,7.5266
1991,276.5828,25.8239,8.7722,25.5796,84.4783,9.9973
1992,23.3569,397.3975,22.928,5.3305,13.2641,46.6542
1993,9.7466,32.2163,328.8827,12.5618,2.4421,25.6608
1994,15.7274,15.6673,31.0571,209.8572,6.6738,13.8645
1995,67.8669,24.2633,14.8864,20.1238,115.601,10.6602
1996,51.0764,88.7287,19.0971,7.7827,8.8264,52.4133
1997,138.8144,75.6256,76.6371,10.577,3.5214,25.5475
1998,173.0389,225.4519,73.3608,48.9811,5.6088,14.295
1999,18.0669,111.9205,116.9382,33.9122,22.0826,8.888
2000,52.0996,32.0747,150.6072,106.4076,22.4356,17.073
2001,65.0858,73.0323,35.0247,114.608,60.5827,18.9291
2002,44.9949,106.6405,91.0055,29.5185,70.172,40.704
2003,175.2921,75.985,137.7606,80.4651,19.2098,60.2823
2004,24.3201,266.6218,89.7475,113.4413,49.6525,40.3555
2005,46.0198,38.2188,323.231,75.1778,70.575,46.8097
2006,56.3361,73.2049,46.8776,273.938,47.3271,62.0056
2007,79.0528,86.6541,87.0784,38.6326,168.0941,55.6995
2008,96.7249,120.9383,102.1597,70.6703,23.1874,113.6112
2009,69.1319,153.2738,146.8502,84.7805,43.0649,67.0867
2010,63.378,105.1394,179.0767,117.4229,49.8248,53.0519
2011,24.6914,96.8937,122.7847,141.788,67.6565,48.5594
2012,16.4083,39.8236,118.6089,101.1854,84.4479,56.8426
2013,45.1945,28.7461,53.032,107.2184,66.7658,77.2048
2014,4.7866,55.7351,27.7458,35.5975,53.6283,59.9892
2015,209.4824,14.3332,102.8706,28.423,23.5687,58.0046
2016,21.4133,292.8826,13.8092,67.4982,14.8709,38.1589
2017,125.6322,29.5437,276.8895,8.8404,34.2607,23.9786
2018,130.477,204.0473,34.1583,217.4436,5.445,32.1091

Catch in numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,5.1301,29.8365,9.7693,1.4148,0.0814,0.0833
1981,0.7697,4.4659,18.0288,3.759,0.4017,0.0401
1982,2.9283,1.6504,6.8005,18.2184,2.914,0.3062
1983,15.7585,4.9229,1.9473,5.2143,10.5114,1.6447
1984,7.2175,23.971,5.2339,1.3353,2.6713,5.4812
1985,2.6492,13.2381,30.7368,4.3302,0.8257,4.3192
1986,5.478,3.1875,11.0306,16.2392,1.6813,1.6778
1987,21.342,5.4402,2.2183,4.9747,5.4965,0.9851
1988,5.8946,64.3764,11.6763,3.1702,5.4704,6.3653
1989,1.5424,11.6872,88.3801,10.1608,2.0267,6.4591
1990,1.5482,0.8816,4.5442,21.0507,1.7171,1.181
1991,11.5161,1.1089,0.4497,1.5461,5.5192,0.6713
1992,2.1486,37.7582,2.6263,0.7277,1.9687,7.1323
1993,1.7603,6.026,75.4672,3.5046,0.749,8.1394
1994,1.3493,1.3881,3.3133,26.6453,0.9206,1.9694
1995,3.6962,1.3634,1.0011,1.5999,9.9486,0.9434
1996,10.6374,19.1541,5.0854,2.5361,3.1733,19.5169
1997,27.5396,15.5468,19.3963,3.2683,1.1988,9.0041
1998,15.3043,20.5936,8.0731,6.4189,0.7988,2.0967
1999,4.3596,24.975,25.2348,7.4572,5.0196,2.0638
2000,4.6957,2.6981,12.2974,8.835,1.9183,1.4875
2001,15.2186,15.7989,7.3285,24.4336,13.3486,4.2599
2002,8.1469,17.9212,14.8117,4.8916,12.0023,7.1047
2003,16.5091,6.6774,11.7499,6.9793,1.716,5.4876
2004,3.2621,33.2876,10.8645,13.973,6.3051,5.2255
2005,6.2131,4.8025,39.3819,9.3199,9.0203,6.1007
2006,6.8246,8.261,5.131,30.5029,5.4312,7.2543
2007,11.7112,11.9388,11.6286,5.2504,23.5601,7.9625
2008,17.6775,20.5124,16.7806,11.8193,4.0029,20.0152
