MODEL RESULTS

Report produced by model_selection.R
Contact: Sherri.Dressel@alaska.gov or Jane.Sullivan1@alaska.gov
HER_condEffort.25_231

Model structure
Survival time blocks:,1980-1998; 1999-2018
Maturity time blocks:,1980-1998; 1999-2014; 2015-2018
Selectivity time blocks:,1980-2018

Model diagnostics
Number of parameters:,99
Negative log likelihood:,-1256.3
Maximum gradient compoent:,9.30924848750906e-05

Forecast
Mature biomass forecast (tons):,95809
Threshold placeholder, TODO
GHL (tons):,19161.8
Harvest rate:, 0.2

Forecast values by age
Age,Mature and immature numbers-at-age forecast (millions),Mature numbers-at-age (millions),Proportion mature numbers-at-age,Weight-at-age used in forecast (g),Survival,Maturity,Selectivity
3,776.7528,82.1649,0.105055762794756,80.5,0.596366421294318,0.1281,0.0779
4,381.7023,217.1388,0.277632934091541,95.9,0.596366421294318,0.3209,0.2321
5,222.2473,255.7749,0.327032920666277,100.8,0.596366421294318,0.6033,0.5195
6,18.5031,31.6138,0.0404212975837721,126.8,0.596366421294318,0.8303,0.7945
7,83.7402,168.6859,0.215681220292607,151.4,0.596366421294318,0.9403,0.9326
8+,12.5426,26.7292,0.0341758645710468,155.2,0.596366421294318,0.9806,0.9802

Catch and biomass time series
Year,Mature biomass (tons),Spawning biomass (tons),Catch (tons),Mature and immature age-3 abundance (recruitment in millions)
1980,26926.2318393263,22541.2318393263,4385,459.1323
1981,33616.2999625212,30110.2999404749,3506.00002204634,118.6788
1982,28560.4202032673,24197.4202473599,4362.99995590732,316.3779
1983,35980.9287021319,30530.9287021319,5450,1556.3393
1984,37303.6419453692,31473.6419453692,5830,701.8361
1985,36790.3703785357,29315.3703785357,7475,206.9641
1986,33574.175577063,28131.1756211557,5442.99995590732,537.7389
1987,46781.2259970458,42565.2259749994,4216.00002204634,3449.0013
1988,49505.2554068652,39930.2554068652,9575,459.8798
1989,44221.2932383871,32086.2932383871,12135,89.1077
1990,36536.2817742896,32732.2817963359,3803.99997795366,228.4321
1991,45271.4830573866,43363.4831014793,1907.99995590732,3962.4094
1992,54576.8450583126,49208.8451024052,5367.99995590732,299.5089
1993,50777.2002248727,40591.2002028263,10186.0000220463,128.666
1994,44807.0276020194,39920.1176172314,4886.90998478802,180.5469
1995,40176.9687382879,37199.0687625389,2977.89997574902,762.8133
1996,30818.5899160034,22569.4399126965,8249.15000330695,590.1681
1997,37729.8783041954,26475.3582530479,11254.5200511475,1399.6029
1998,46563.4650234794,39776.9050243612,6786.55999911815,1172.869
1999,51000.7683149981,41579.3082960383,9421.46001895985,227.6953
2000,59266.4482241672,54647.078198373,4619.37002579422,576.9297
2001,67071.6941511056,55011.6941511056,12060,817.0591
2002,68690.7600476201,58755.2600365969,9935.50001102317,544.2761
2003,83664.273793514,76708.163760224,6956.11003328998,1854.9321
2004,93676.3752507771,83059.7852686347,10616.5899821425,283.9086
2005,100933.424568443,89413.094534712,11520.3300337309,534.3555
2006,96080.8019356688,86011.3719438259,10069.4299918429,645.3158
2007,94554.0467161975,82791.7966665932,11762.2500496043,920.4315
2008,98873.2590004189,84312.858969554,14560.4000308649,1148.3847
2009,106722.680945347,91848.1909874556,14874.4899578915,820.6269
2010,106787.26592297,88823.7758768932,17963.4900460769,775.3603
2011,101589.434180648,82050.2141802068,19539.2200004409,321.8254
2012,77504.9133578783,64196.4033598624,13308.5099980158,215.2876
2013,75699.6825326837,69913.9624991733,5785.72003351044,550.9017
2014,63670.0334002072,46592.643356335,17077.3900438722,81.5204
2015,63859.5866310986,55003.7565863445,8855.83004475407,1762.1234
2016,63450.1186093168,53394.6586124033,10055.4599969135,196.8714
2017,78139.1681915386,64076.2481536189,14062.9200379197,1225.9163
2018,85689.6036067815,82680.5135695231,3009.09003725832,1138.2879

Mature and immature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,459.1323,798.8565,111.5196,9.554,0.5711,0.4522
1981,118.6788,208.9794,354.4351,47.1771,3.8616,0.4029
1982,316.3779,54.2942,94.1386,155.1249,20.086,1.7898
1983,1556.3393,144.1365,24.1557,40.0709,63.2941,8.733
1984,701.8361,708.3529,63.9413,10.2156,16.1884,28.4106
1985,206.9641,319.5035,314.4407,27.0805,4.1362,17.5673
1986,537.7389,93.8896,140.3602,130.1052,10.5807,8.1735
1987,3449.0013,244.7575,41.6564,59.3767,52.5851,7.3831
1988,459.8798,1578.253,110.3337,18.2607,25.3416,25.2384
1989,89.1077,208.7373,694.4492,45.8164,7.1739,19.2338
1990,228.4321,40.2024,90.2116,277.0069,16.9259,9.2971
1991,3962.4094,104.4935,18.104,39.4541,117.8068,10.978
1992,299.5089,1820.5797,47.6789,8.1544,17.5522,56.9282
1993,128.666,137.027,820.2064,20.8728,3.4732,31.1755
1994,180.5469,58.4261,60.3708,341.572,8.2362,13.1959
1995,762.8133,82.5613,26.2843,26.3442,144.7692,8.9239
1996,590.1681,349.6767,37.4135,11.6582,11.4474,66.0866
1997,1399.6029,266.2926,151.1704,14.9344,4.3116,27.2878
1998,1172.869,631.661,115.198,60.4317,5.5356,11.1504
1999,227.6953,534.4817,281.251,49.1221,24.7243,6.6545
2000,576.9297,133.6477,303.9788,150.8244,24.901,15.4319
2001,817.0591,341.8785,78.2006,173.7155,84.2662,22.2468
2002,544.2761,479.9142,194.8428,42.1315,88.6885,52.8277
2003,1854.9321,320.6619,275.9959,107.1199,22.186,72.7243
2004,283.9086,1098.5306,187.2869,157.0842,59.4774,51.8771
2005,534.3555,167.7148,636.826,104.8237,85.0125,59.0955
2006,645.3158,315.6873,97.2482,356.6155,56.775,76.5759
2007,920.4315,381.5623,183.5096,54.7651,194.8206,71.5324
2008,1148.3847,543.3165,220.6922,102.1884,29.4086,140.2109
2009,820.6269,676.4539,312.2926,121.1874,53.7137,86.6793
2010,775.3603,483.7293,389.6352,172.2947,64.1594,72.4854
2011,321.8254,455.914,276.575,211.4385,88.9378,68.4735
2012,215.2876,188.8541,259.1147,148.0867,106.9283,77.0264
2013,550.9017,126.5333,107.8351,140.1931,76.0949,91.7683
2014,81.5204,326.5095,74.0747,61.6937,78.4605,92.7215
2015,1762.1234,47.4438,181.0507,37.5329,28.6748,75.5795
2016,196.8714,1036.2829,27.1379,98.3431,19.4029,52.248
2017,1225.9163,115.5233,588.8851,14.5262,49.7116,34.9401
2018,1138.2879,717.9612,65.2678,311.1424,7.1983,40.4344

Mature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,41.8604,185.5071,53.1887,7.0057,0.5097,0.4348
1981,10.8203,48.5283,169.0461,34.5935,3.4458,0.3874
1982,28.8451,12.608,44.8989,113.7483,17.9235,1.721
1983,141.8958,33.4708,11.5209,29.3827,56.4796,8.3969
1984,63.9884,164.4907,30.4965,7.4908,14.4455,27.3174
1985,18.8695,74.1937,149.9709,19.8573,3.6909,16.8913
1986,49.0272,21.8026,66.9441,95.4021,9.4416,7.859
1987,314.4552,56.8366,19.8678,43.5391,46.9236,7.099
1988,41.9285,366.4953,52.6231,13.39,22.6133,24.2673
1989,8.1242,48.4721,331.2141,33.5957,6.4016,18.4937
1990,20.8268,9.3356,43.026,203.1206,15.1036,8.9394
1991,361.264,24.2651,8.6346,28.9304,105.1233,10.5555
1992,27.3071,422.7673,22.7402,5.9794,15.6625,54.7377
1993,11.7308,31.8198,391.1934,15.3054,3.0992,29.9759
1994,16.461,13.5675,28.7935,250.4641,7.3495,12.6882
1995,69.5478,19.172,12.5361,19.3174,129.1828,8.5805
1996,53.8073,81.2004,17.8442,8.5486,10.2149,63.5436
1997,127.6057,61.8373,72.1,10.9509,3.8474,26.2378
