MODEL RESULTS

Report produced by model_selection.R
Contact: Sherri.Dressel@alaska.gov or Jane.Sullivan1@alaska.gov
HER_condEffort.3_211

Model structure
Survival time blocks:,1980-2014; 2015-2018
Maturity time blocks:,1980-2018
Selectivity time blocks:,1980-2018

Model diagnostics
Number of parameters:,95
Negative log likelihood:,-1191.5
Maximum gradient compoent:,7.98025877896479e-05

Forecast
Mature biomass forecast (tons):,67251.7
Threshold placeholder, TODO
GHL (tons):,13450.3
Harvest rate:, 0.2

Forecast values by age
Age,Mature and immature numbers-at-age forecast (millions),Mature numbers-at-age (millions),Proportion mature numbers-at-age,Weight-at-age used in forecast (g),Survival,Maturity,Selectivity
3,560.8471,72.3595,0.129746837712768,80.5,0.550625706062316,0.1383,0.0999
4,214.5753,159.6756,0.286312151961924,95.9,0.550625706062316,0.3825,0.278
5,119.9003,177.8563,0.318911718465348,100.8,0.550625706062316,0.7051,0.5719
6,9.8302,20.0509,0.0359529967494929,126.8,0.550625706062316,0.9022,0.8225
7,49.225,112.2202,0.201220518072877,151.4,0.550625706062316,0.9727,0.9414
8+,6.5922,15.5351,0.0278557770375917,155.2,0.550625706062316,0.9928,0.9824

Catch and biomass time series
Year,Mature biomass (tons),Spawning biomass (tons),Catch (tons),Mature and immature age-3 abundance (recruitment in millions)
1980,20084.8432505126,15699.8432505126,4385,170.007
1981,26930.8156044004,23424.8155823541,3506.00002204634,45.7253
1982,23024.850636037,18661.8506801296,4362.99995590732,126.6174
1983,26987.7412420909,21537.7412420909,5450,614.6727
1984,30253.9055093807,24423.9055093807,5830,284.6991
1985,31979.6499040984,24504.6499040984,7475,88.1783
1986,28410.5124672061,22967.5125112988,5442.99995590732,228.2666
1987,34575.5983377059,30359.5983156595,4216.00002204634,1324.2911
1988,41355.1910315483,31780.1910315483,9575,195.1124
1989,38626.7600696664,26491.7600696664,12135,40.6118
1990,30070.7040499129,26266.7040719593,3803.99997795366,102.7498
1991,33624.1104301241,31716.1104742168,1907.99995590732,1575.68
1992,47323.5716175401,41955.5716616327,5367.99995590732,147.6319
1993,47920.2040388897,37734.2040168434,10186.0000220463,67.1659
1994,42150.1125465729,37263.2025617849,4886.90998478802,100.5148
1995,40128.0497806389,37150.1498048899,2977.89997574902,427.2529
1996,35560.6598469984,27311.5098436914,8249.15000330695,374.7151
1997,46367.5774377742,35113.0573866267,11254.5200511475,942.0132
1998,63969.2510857823,57182.6910866642,6786.55999911815,966.0322
1999,74679.224850636,65257.7648316762,9421.46001895985,242.3899
2000,77839.9599858904,73220.5899600961,4619.37002579422,587.5744
2001,82772.3537776406,70712.3537776406,12060,810.2091
2002,83254.0244493926,73318.5244383694,9935.50001102317,540.6879
2003,103286.721268106,96330.6112348156,6956.11003328998,1939.455
2004,115621.10419101,105004.514208867,10616.5899821425,280.1191
2005,119021.998059922,107501.668026191,11520.3300337309,530.8487
2006,106507.051301836,96437.6213099936,10069.4299918429,646.2138
2007,104907.374501202,93145.1244515973,11762.2500496043,935.8104
2008,113658.282149077,99097.8821182125,14560.4000308649,1188.5263
2009,126012.629687603,111138.139729712,14874.4899578915,852.4243
2010,124218.889856478,106255.399810401,17963.4900460769,810.6874
2011,115310.490861791,95771.2708613506,19539.2200004409,314.7676
2012,84347.1674860557,71038.6574880399,13308.5099980158,203.8555
2013,78906.6479640204,73120.9279305099,5785.72003351044,524.0448
2014,65067.2241451531,47989.8341012809,17077.3900438722,72.8865
2015,61161.2456182896,52305.4155735356,8855.83004475407,1672.352
2016,60004.6578407813,49949.1978438678,10055.4599969135,151.9937
2017,67116.6721047642,53053.7520668445,14062.9200379197,869.1833
2018,64215.3537335479,61206.2636962896,3009.09003725832,762.4464

Mature and immature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,170.007,377.0873,57.169,5.4961,0.2849,0.2875
1981,45.7253,95.559,200.753,27.8267,2.4784,0.2474
1982,126.6174,26.0522,52.8278,105.5946,14.0284,1.3459
1983,614.6727,71.6173,14.1135,26.6523,50.1355,7.0862
1984,284.6991,346.6575,38.4839,7.0024,12.3537,25.6452
1985,88.1783,160.682,186.6655,19.1756,3.2657,17.0493
1986,228.2666,49.4248,84.8766,89.4071,8.4489,8.5054
1987,1324.2911,128.9747,26.696,42.561,42.0791,7.703
1988,195.1124,755.3553,71.5208,14.1311,21.6528,24.8295
1989,40.6118,109.4057,399.4388,34.334,6.2466,19.6171
1990,102.7498,22.4815,55.822,178.1503,13.653,9.6025
1991,1575.68,58.6345,12.4831,29.6282,90.9856,11.632
1992,147.6319,906.7659,33.3289,6.9526,16.2176,55.6909
1993,67.1659,84.2738,503.9442,17.7225,3.5603,35.9989
1994,100.5148,37.8257,45.1058,248.0021,8.1189,17.3316
1995,427.2529,57.4461,21.0919,24.1491,128.2513,12.8967
1996,374.7151,245.4867,32.5105,11.6419,13.0481,75.4726
1997,942.0132,210.8532,131.0895,15.9236,5.2971,38.4962
1998,966.0322,530.5912,112.9016,64.5672,7.3037,19.2216
1999,242.3899,552.0186,295.7319,60.3916,33.3468,13.4176
2000,587.5744,138.1788,305.6405,156.0444,30.5841,23.1813
2001,810.2091,338.0629,78.4968,170.022,85.2643,29.0928
2002,540.6879,461.2453,186.4693,41.0972,85.143,55.968
2003,1939.455,308.7819,256.6583,99.4062,21.1223,71.1094
2004,280.1191,1114.5694,174.844,141.8227,53.7968,49.2936
2005,530.8487,160.4776,625.6521,94.9029,74.804,53.5202
2006,646.2138,304.0433,90.0207,339.1166,49.9548,66.4823
2007,935.8104,370.3692,170.8762,48.9826,179.5014,60.6748
2008,1188.5263,535.1962,206.9109,91.841,25.4726,122.7936
2009,852.4243,678.13,297.0436,109.7219,46.8449,73.8537
2010,810.6874,486.8605,377.4482,158.4439,56.439,60.8038
2011,314.7676,461.5772,268.6398,197.7604,79.4294,57.3417
2012,203.8555,178.719,252.7215,138.5236,96.8901,65.1742
2013,524.0448,115.9196,98.2627,131.4436,68.7146,78.3614
2014,72.8865,301.1396,65.6263,54.2774,71.0971,78.6203
2015,1672.352,40.8632,159.1744,31.4754,23.9613,63.0959
2016,151.9937,904.1204,21.3809,78.9084,14.9014,40.1059
2017,869.1833,81.8468,467.8695,10.3613,36.1572,24.3815
2018,762.4464,465.4547,41.7055,219.6424,4.5357,25.5189

Mature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,23.5127,144.2422,40.3097,4.9588,0.2771,0.2854
1981,6.324,36.5529,141.5503,25.1061,2.4107,0.2456
1982,17.5117,9.9654,37.2487,95.2706,13.6453,1.3362
1983,85.0118,27.3948,9.9514,24.0465,48.7664,7.035
1984,39.3751,132.6023,27.1349,6.3178,12.0164,25.46
1985,12.1954,61.4636,131.6173,17.3008,3.1766,16.9262
1986,31.5702,18.9058,59.8462,80.6658,8.2181,8.444
1987,183.155,49.335,18.8233,38.3998,40.9299,7.6474
1988,26.9849,288.9361,50.4291,12.7495,21.0615,24.6501
1989,5.6168,41.8495,281.643,30.9771,6.076,19.4754
1990,14.2107,8.5996,39.3599,160.7326,13.2801,9.5331
1991,217.9232,22.4287,8.8018,26.7315,88.5008,11.548
1992,20.4181,346.8533,23.5001,6.2728,15.7747,55.2887
1993,9.2893,32.2362,355.3295,15.9898,3.4631,35.7389
1994,13.9016,14.469,31.804,223.755,7.8971,17.2064
1995,59.0909,21.9741,14.8718,21.788,124.7488,12.8036
1996,51.8247,93.9028,22.9231,10.5036,12.6918,74.9276
1997,130.2844,80.6549,92.4308,14.3667,5.1524,38.2182
1998,133.6063,202.9601,79.6066,58.2545,7.1043,19.0828
1999,33.5235,211.1564,208.5196,54.4872,32.4362,13.3207
2000,81.264,52.8557,215.5062,140.788,29.7488,23.0139
2001,112.0553,129.3148,55.3478,153.399,82.9358,28.8827
2002,74.7794,176.4341,131.4789,37.0792,82.8178,55.5638
2003,268.2348,118.1143,180.969,89.6873,20.5454,70.5959
2004,38.7417,426.3416,123.282,127.9568,52.3276,48.9376
2005,73.4186,61.3854,441.1454,85.6242,72.7611,53.1337
2006,89.3741,116.3017,63.4733,305.9613,48.5906,66.0022
2007,129.4265,141.6725,120.4843,44.1936,174.5993,60.2366
2008,164.3782,204.7216,145.8922,82.8618,24.777,121.9068
2009,117.8939,259.3962,209.4445,98.9945,45.5656,73.3203
2010,112.1215,186.2324,266.1376,142.9529,54.8977,60.3647
2011,43.5337,176.5611,189.4171,178.4254,77.2602,56.9276
2012,28.1941,68.363,178.1931,124.9802,94.2441,64.7036
2013,72.4776,44.3412,69.2847,118.5924,66.838,77.7955
2014,10.0805,115.191,46.2729,48.9707,69.1555,78.0525
2015,231.2933,15.6309,112.2334,28.3981,23.3069,62.6402
2016,21.0214,345.8413,15.0756,71.1936,14.4945,39.8163
2017,120.2117,31.3078,329.8934,9.3482,35.1697,24.2054
2018,105.4496,178.0443,29.4064,198.168,4.4118,25.3346

Spawning numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,18.4124,113.5955,31.1614,3.7396,0.206,0.211
1981,5.5571,32.1592,123.0226,21.4884,2.0455,0.2077
1982,14.4847,8.2689,30.415,76.1952,10.7847,1.0512
1983,68.568,22.1893,7.922,18.7131,37.4596,5.3762
1984,31.9659,108.0747,21.7425,4.9511,9.2979,19.6017
1985,9.3098,47.2536,99.2421,12.7054,2.2975,12.1681
1986,25.8759,15.5505,48.4174,63.8749,6.428,6.5729
1987,162.3852,43.7842,16.5134,33.2052,35.1053,6.5383
1988,20.6746,222.8947,38.1586,9.3981,15.2921,17.7905
1989,3.8015,28.7762,189.6393,20.2041,3.8889,12.37
1990,12.6468,7.6602,34.6675,139.5967,11.4425,8.1886
1991,207.0547,21.3101,8.3168,25.0901,82.7548,10.7825
1992,18.2181,309.7469,20.755,5.4643,13.6348,47.6436
1993,7.3995,25.8017,279.3641,12.2781,2.6234,26.9286
1994,12.5219,13.0417,28.3724,197.0769,6.9055,15.0036
1995,55.4758,20.6316,13.8703,20.1561,114.8783,11.7696
1996,40.9803,74.6381,17.892,8.0029,9.537,55.9948
1997,103.9157,64.6367,72.7653,11.0472,3.9088,28.8394
1998,120.1959,182.7152,70.9232,51.2342,6.2027,16.6138
1999,29.5896,186.5836,182.0746,46.8747,27.6704,11.3263
2000,77.0868,50.1392,203.2736,131.8847,27.7598,21.4431
2001,97.8201,113.0431,47.7728,130.3089,69.8174,24.2284
2002,66.9584,158.1056,116.5555,32.4328,71.8927,48.0918
2003,252.1991,111.0617,169.055,83.1185,18.9556,65.0203
2004,35.5597,391.4639,112.2125,115.2238,46.8361,43.6989
2005,67.2592,56.2571,400.7089,76.9287,64.9694,47.3301
2006,82.3087,107.1406,57.9821,276.6113,43.6737,59.189
2007,117.2075,128.3707,108.0987,39.1693,153.6859,52.8794
2008,146.105,182.1355,128.3291,71.8613,21.3161,104.5512
2009,105.6478,232.6309,185.8285,86.6698,39.5933,63.5235
2010,97.9807,162.9653,229.9657,121.5808,46.2724,50.7021
2011,37.1826,151.107,159.8282,147.8689,63.377,46.5113
2012,24.3819,59.2165,152.3047,105.0379,78.4519,53.6603
2013,68.1112,41.6733,64.6888,109.8415,61.6275,71.6055
2014,7.7119,88.7397,34.9639,36.0435,50.1331,56.2426
2015,200.8903,13.5969,96.3625,23.9848,19.502,52.2232
2016,17.6674,291.4063,12.5116,57.9493,11.6683,31.9138
2017,96.3282,25.2014,260.9106,7.224,26.8191,18.3615
2018,101.0942,170.6827,28.0608,188.0478,4.1734,23.9366

Catch in numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,5.1003,30.6467,9.1483,1.2192,0.0711,0.0744
1981,0.7669,4.3937,18.5277,3.6177,0.3652,0.0379
1982,3.027,1.6965,6.8337,19.0754,2.8606,0.285
1983,16.4438,5.2055,2.0294,5.3334,11.3068,1.6588
1984,7.4092,24.5276,5.3924,1.3667,2.7185,5.8583
1985,2.8856,14.21,32.3752,4.5954,0.8791,4.7581
1986,5.6943,3.3553,11.4288,16.7909,1.7901,1.8711
1987,20.7698,5.5508,2.3099,5.1946,5.8246,1.1091
1988,6.3103,66.0414,12.2705,3.3514,5.7694,6.8596
1989,1.8153,13.0733,92.0037,10.773,2.1871,7.1054
1990,1.5639,0.9394,4.6924,21.1359,1.8376,1.3445
1991,10.8685,1.1186,0.485,1.6414,5.746,0.7655
1992,2.2,37.1064,2.7451,0.8085,2.1399,7.6451
1993,1.8898,6.4345,75.9654,3.7117,0.8397,8.8103
1994,1.3797,1.4273,3.4316,26.6781,0.9916,2.2028
1995,3.6151,1.3425,1.0015,1.6319,9.8705,1.034
1996,10.8444,19.2647,5.0311,2.5007,3.1548,18.9328
1997,26.3687,16.0182,19.6655,3.3195,1.2436,9.3788
1998,13.4104,20.2449,8.6834,7.0203,0.9016,2.469
1999,3.9339,24.5728,26.445,7.6125,4.7658,1.9944
2000,4.1772,2.7165,12.2326,8.9033,1.989,1.5708
2001,14.2352,16.2717,7.575,23.0901,13.1184,4.6543
2002,7.821,18.3285,14.9234,4.6464,10.9251,7.472
2003,16.0357,7.0526,11.914,6.5688,1.5898,5.5756
2004,3.182,34.8777,11.0695,12.733,5.4915,5.2387
2005,6.1594,5.1283,40.4365,8.6955,7.7917,5.8036
2006,7.0654,9.1611,5.4912,29.35,4.9169,6.8132
2007,12.219,13.3018,12.3856,5.0243,20.9134,7.3572
2008,18.2732,22.5861,17.5631,11.0005,3.4609,17.3556
2009,12.2461,26.7653,23.616,12.3247,5.9723,9.7968
2010,14.1408,23.2671,36.1719,21.3721,8.6253,9.6626
2011,6.3511,25.4541,29.5889,30.5565,13.8832,10.4163
2012,3.8122,9.1465,25.8884,19.9423,15.7922,11.0433
2013,4.3664,2.6679,4.5959,8.7509,5.2105,6.19
2014,2.3686,26.4513,11.309,12.9272,19.0224,21.8099
2015,30.403,2.034,15.8709,4.4133,3.8049,10.417
2016,3.354,54.435,2.564,13.2443,2.8262,7.9025
2017,23.8835,6.1064,68.9828,2.1242,8.3506,5.8439
2018,4.3554,7.3616,1.3456,10.1202,0.2384,1.398

Proportion of each age class that is caught from mature population (e.g. number of age-3 fish caught divided by the number of age-3 mature at age)
Year,3,4,5,6,7,8+
1980,0.216916815167973,0.212466947952818,0.226950337015656,0.245865935306929,0.256586070010826,0.260686755430974
1981,0.121268184693232,0.120201133152226,0.130891280343454,0.14409645464648,0.151491268096404,0.154315960912052
1982,0.17285586208078,0.170239027033536,0.183461436238043,0.200223363765947,0.209639949286568,0.213291423439605
