MODEL RESULTS

Report produced by model_selection.R
Contact: Sherri.Dressel@alaska.gov or Jane.Sullivan1@alaska.gov
HER_condEffort_fixedmat.2_2

Model structure
Survival time blocks:,1980-1998; 1999-2018
Maturity time blocks:,
Selectivity time blocks:,

Model diagnostics
Number of parameters:,93
Negative log likelihood:,-272.2
Maximum gradient compoent:,3.16025009116776e-06

Forecast
Mature biomass forecast (tons):,116741.3
Threshold:25000
GHL (tons):,23348.3
Harvest rate:, 0.2

Forecast values by age
Age,Mature and immature numbers-at-age forecast (millions),Mature numbers-at-age (millions),Proportion mature numbers-at-age,Weight-at-age used in forecast (g),Survival,Maturity,Selectivity
3,326.8875,28.9764,0.0292583569341026,80.5,0.655537348686705,0.0805,0.1151
4,362.0601,471.8893,0.476481052607771,95.9,0.655537348686705,0.7685,0.3295
5,158.5886,299.4113,0.302324743084153,100.8,0.655537348686705,0.9921,0.6499
6,14.4799,30.1345,0.0304277259090402,126.8,0.655537348686705,0.9998,0.8752
7,61.8067,133.5738,0.134873549421061,151.4,0.655537348686705,1,0.9636
8+,12.0656,26.3779,0.0266345720438724,155.2,0.655537348686705,1,0.9901

Catch and biomass time series
Year,Mature biomass (tons),Spawning biomass (tons),Catch (tons),Mature and immature age-3 abundance (recruitment in millions)
1980,37496.9297162636,33111.9297162636,4385,206.2833
1981,39371.7899424591,35865.7899204127,3506.00002204634,60.4493
1982,26389.6938865495,22026.6939306422,4362.99995590732,154.9975
1983,28293.4442999184,22843.4442999184,5450,695.5903
1984,46071.5700302035,40241.5700302035,5830,314.0652
1985,44325.0677924998,36850.0677924998,7475,87.229
1986,30870.9705901806,25427.9706342732,5442.99995590732,241.6129
1987,33390.0040785732,29174.0040565268,4216.00002204634,1529.2329
1988,68163.567869662,58588.567869662,9575,201.5104
1989,50287.0797416169,38152.0797416169,12135,44.2456
1990,30575.4662801208,26771.4663021672,3803.99997795366,99.7163
1991,27594.9204127075,25686.9204568002,1907.99995590732,1742.3109
1992,77734.0256619414,72366.0257060341,5367.99995590732,149.0576
1993,60035.5371591084,49849.5371370621,10186.0000220463,62.1224
1994,40545.1524504508,35658.2424656628,4886.90998478802,94.9813
1995,33213.2161202848,30235.3161445358,2977.89997574902,400.4822
1996,36301.6522630569,28052.50225975,8249.15000330695,306.6162
1997,41097.2643797262,29842.7443285787,11254.5200511475,661.0431
1998,57805.0862011949,51018.5262020768,6786.55999911815,612.4361
1999,64282.5984920303,54861.1384730704,9421.46001895985,128.0154
2000,58921.7768248859,54302.4067990917,4619.37002579422,338.7801
2001,66648.1518551996,54588.1518551996,12060,440.2013
2002,74438.2585594921,64502.7585484689,9935.50001102317,310.4196
2003,80608.7886637713,73652.6786304813,6956.11003328998,1040.0762
2004,117580.809541657,106964.219559514,10616.5899821425,170.6946
2005,108204.782071915,96684.4520381843,11520.3300337309,305.2649
2006,93889.4121343063,83819.9821424635,10069.4299918429,386.7967
2007,97193.6896756983,85431.4396260941,11762.2500496043,545.3748
2008,110186.295002094,95625.8949712295,14560.4000308649,667.3927
2009,127865.699861108,112991.209903217,14874.4899578915,522.759
2010,122327.844859896,104364.354813819,17963.4900460769,511.52
2011,118452.529707445,98913.3097070041,19539.2200004409,196.6021
2012,84925.5593156816,71617.0493176657,13308.5099980158,133.7199
2013,76674.3439008796,70888.6238673692,5785.72003351044,339.1475
2014,73213.294715492,56135.9046716197,17077.3900438722,52.7963
2015,52723.5291783329,43867.6991335788,8855.83004475407,1003.5421
2016,77757.4824180427,67702.0224211292,10055.4599969135,124.5156
2017,74800.0283295487,60737.108291629,14062.9200379197,737.0848
2018,86890.9333318636,83881.8432946053,3009.09003725832,942.0693

Mature and immature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,206.2833,392.4302,69.8883,6.5606,0.3741,0.3663
1981,60.4493,107.5769,194.5434,32.1199,2.8588,0.315
1982,154.9975,31.8575,54.959,94.8765,15.161,1.4784
1983,695.5903,80.9554,15.8625,25.4782,41.8281,7.1888
1984,314.0652,362.5599,40.0723,7.2686,11.058,20.8062
1985,87.229,163.9027,180.1045,18.4915,3.1847,13.6254
1986,241.6129,45.1617,79.5862,79.4581,7.6262,6.7084
1987,1529.2329,125.837,22.305,36.3084,34.2826,6.0322
1988,201.5104,805.8832,64.2787,10.8749,17.1316,18.7681
1989,44.2456,104.4535,392.6447,28.5491,4.5256,14.5048
1990,99.7163,22.6026,48.8105,160.601,10.6332,6.7751
1991,1742.3109,52.4585,11.4888,23.567,74.7899,7.9795
1992,149.0576,926.3453,27.4847,5.8888,11.8949,41.5164
1993,62.1224,78.604,474.0977,13.4512,2.7928,24.948
1994,94.9813,32.2497,38.4627,212.3617,5.6621,11.321
1995,400.4822,50.011,16.4332,18.6624,99.5512,7.8333
1996,306.6162,212.1331,25.9238,8.2474,9.1556,52.2039
1997,661.0431,157.814,101.2823,11.0627,3.2523,23.2737
1998,612.4361,339.9821,75.187,43.0393,4.3378,9.9947
1999,128.0154,320.9031,170.8444,35.4922,19.4428,6.3409
2000,338.7801,81.4501,193.1397,94.6302,18.5437,13.1439
2001,440.2013,219.3434,51.5321,118.0538,56.4555,18.7033
2002,310.4196,280.1704,132.1377,28.5959,61.8328,38.4184
2003,1040.0762,198.7733,171.7415,75.8835,15.6856,53.8977
2004,170.6946,672.8496,125.4675,104.4927,44.9918,40.7439
2005,305.2649,109.9548,419.5377,74.5158,59.9708,48.4564
2006,386.7967,196.6613,68.581,249.3203,42.8021,61.3455
2007,545.3748,249.5357,123.1541,41.0793,144.7429,59.5962
2008,667.3927,350.9031,155.0775,72.666,23.3701,114.4526
2009,522.759,428.0108,216.0438,89.8297,40.3255,74.893
2010,511.52,335.7786,264.698,126.2533,50.4458,63.5064
2011,196.6021,327.1803,205.1726,151.0553,68.6683,60.6286
2012,133.7199,125.3311,198.0122,114.8937,80.0931,66.9009
2013,339.1475,85.4801,76.4528,112.6248,62.2109,77.8643
2014,52.7963,219.9712,54.3571,47.2011,68.1034,83.9005
2015,1003.5421,33.222,128.2641,28.2845,22.671,70.3837
2016,124.5156,642.4563,20.3512,73.5624,15.4874,49.8289
2017,737.0848,79.3992,389.1312,11.4144,39.0875,33.8129
2018,942.0693,467.8666,47.4657,212.6852,5.8577,36.372

Mature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,16.6066,301.5634,69.3371,6.5592,0.3741,0.3663
1981,4.8664,82.6676,193.0091,32.1132,2.8588,0.315
1982,12.4779,24.4809,54.5256,94.8566,15.1609,1.4784
1983,55.9976,62.2103,15.7374,25.4729,41.8278,7.1888
1984,25.2834,278.6096,39.7563,7.2671,11.0579,20.8062
1985,7.0222,125.9512,178.6842,18.4876,3.1846,13.6254
1986,19.4507,34.7046,78.9586,79.4415,7.6261,6.7084
1987,123.1088,96.6996,22.1291,36.3008,34.2824,6.0322
1988,16.2223,619.2819,63.7718,10.8726,17.1315,18.7681
1989,3.5619,80.2674,389.5481,28.5431,4.5256,14.5048
1990,8.0275,17.369,48.4255,160.5674,10.6332,6.7751
1991,140.2624,40.3118,11.3982,23.5621,74.7895,7.9795
1992,11.9997,711.8511,27.2679,5.8875,11.8948,41.5164
1993,5.0011,60.4034,470.3588,13.4484,2.7928,24.948
1994,7.6463,24.7823,38.1594,212.3172,5.6621,11.321
1995,32.2403,38.431,16.3036,18.6585,99.5506,7.8333
1996,24.6837,163.0139,25.7193,8.2457,9.1556,52.2039
