variable,fmort,mean,median,q025,q975,q250,q750
ypr,0,0,0,0,0,0,0
ypr,0.01,0.5462454236405682,0.5419121585900437,0.3614425623763125,0.7544116139310743,0.4752564570841664,0.611622680113958
ypr,0.02,1.0772107413524428,1.0689761499634334,0.7148614128363656,1.484393219134275,0.9382466005012038,1.2053549131466028
ypr,0.03,1.5935753525567835,1.5817577709767643,1.0605593969897613,2.1908634248995247,1.3894845390866795,1.7821596874497856
ypr,0.04,2.095979071431115,2.0809286127559448,1.3988241123130374,2.8750599480823076,1.8294968841292096,2.34275763560302
ypr,0.05,2.585024951683639,2.567291692148996,1.729928853312635,3.5380499221262425,2.2586683377353296,2.8877612339153407
ypr,0.06,3.06128187325204,3.041078472822956,2.054007233518139,4.180920114702954,2.6775028752584475,3.4174155321055286
ypr,0.07,3.525286914036594,3.5028422410845916,2.3715148075684827,4.804753452563876,3.086426441239242,3.933154699779565
ypr,0.08,3.9775475272431597,3.953242896528639,2.6824570241044827,5.4102574319384615,3.4859566877851877,4.435207780526649
ypr,0.09,4.418543542686647,4.3919469646741245,2.986958213840743,5.998379557461027,3.876248393071721,4.924004136048953
ypr,0.1,4.848729008448211,4.820101838025476,3.2854082276977787,6.57045802912911,4.257762577156743,5.4006977894849335
ypr,0.11,5.268533887554498,5.23801683912756,3.5780149328703406,7.1267034970532706,4.6301321961937925,5.865211380651185
ypr,0.12,5.67836562282429,5.645814498641107,3.864976627976915,7.668362973659584,4.994412047624749,6.318480074506419
ypr,0.13,6.078610581680908,6.044881439078324,4.146482585450477,8.195745708359414,5.351570011665061,6.760549537377978
ypr,0.14,6.469635391535424,6.43478924093892,4.422713557581624,8.707295519070762,5.7004848710788405,7.191674839906255
ypr,0.15,6.85178817528677,6.81644830898146,4.693853863984578,9.206013760404073,6.042396924374552,7.612620773793559
ypr,0.16,7.225399695543567,7.189599200881034,4.960063671787282,9.691614071796934,6.377319650897933,8.023579599553699
ypr,0.17,7.590784415334595,7.5539154696246715,5.2214957495193826,10.164885625232195,6.7055239362622405,8.425195801904984
ypr,0.18,7.948241482327793,7.910925494220603,5.478892409428996,10.626323899525463,7.026547052761618,8.817985320479563
ypr,0.19,8.298055642910613,8.260407846242495,5.730741406415433,11.077250937290971,7.340358272541612,9.20166180305968
ypr,0.2,8.640498091888098,8.602117625350257,5.978534549207985,11.517668163898254,7.647892139896919,9.57649266077945
ypr,0.21,8.975827263021001,8.936411350728989,6.222260728253812,11.947638399227783,7.949938542635863,9.943623617724878
ypr,0.22,9.304289565147341,9.264301364189349,6.461654566884318,12.367554332923591,8.24714510020985,10.302749859174186
ypr,0.23,9.626120068200832,9.58682751111588,6.696838896530071,12.777429643606578,8.538191651155735,10.654324001893892
ypr,0.24,9.941543143053067,9.902164108505907,6.927878551758445,13.176405365638635,8.823485876194377,10.998583772888013
ypr,0.25,10.250773058758377,10.210658403261414,7.155142518937366,13.566277563719034,9.103365482594816,11.336415257190026
ypr,0.26,10.554014540466644,10.51392936690733,7.3787406894338075,13.947410017740603,9.378866755745245,11.668160479402289
ypr,0.27,10.851463290986402,10.811136695178572,7.598855040232554,14.319731645491618,9.64953772135137,11.991024897412974
ypr,0.28,11.143306478724838,11.10285839094087,7.81613296563128,14.683788921674344,9.915852101637537,12.30723428228567
ypr,0.29,11.429723194500104,11.389351977527102,8.030555191148075,15.040001085705445,10.178040578947202,12.61810404686049
ypr,0.3,11.710884879511926,11.671453413958648,8.240805585853527,15.389527007316843,10.433541590664134,12.923475878144014
ypr,0.31,11.986955726566702,11.948104292518376,8.448084840026231,15.732279628158972,10.6861647713549,13.222868194201828
ypr,0.32,12.258093056481032,12.22051234933874,8.651771620896413,16.06782711119534,10.935882944243275,13.517507938402302
ypr,0.33,12.524447671431131,12.488838757487922,8.852455776271208,16.397106902402182,11.180272888718541,13.805470210032867
