MODEL RESULTS

Report produced by model_selection.R
Contact: Sherri.Dressel@alaska.gov or Jane.Sullivan1@alaska.gov
model.15_221

Model structure
Survival time blocks:,1980-1998; 1999-2017
Maturity time blocks:,1980-2014; 2015-2017
Selectivity time blocks:,1980-2017

Model diagnostics
Number of parameters:,57
Negative log likelihood:,-1189.1
Maximum gradient compoent:,3.03074170894322e-05

Forecast
Mature biomass forecast (tons):,78538.1
Threshold placeholder, TODO
GHL (tons):,15707.6
Harvest rate:, 0.2

Forecast values by age
Age,Mature and immature numbers-at-age forecast (millions),Mature numbers-at-age (millions),Proportion mature numbers-at-age,Weight-at-age used in forecast (g),Survival,Maturity,Selectivity
3,545.2724,84.8977,0.126955375098247,77.2,0.605621545729011,0.1558,0.1411
4,337.3785,266.7693,0.398924782958747,88.2,0.605621545729011,0.4462,0.4168
5,30.018,45.3342,0.0677924180016533,117.1,0.605621545729011,0.7786,0.9082
6,114.7934,228.3872,0.341528482439906,124.8,0.605621545729011,0.9388,1.3486
7,2.5901,5.6568,0.00845913571104712,137.1,0.605621545729011,0.9853,1.5577
8+,16.7932,37.6756,0.0563398057903986,174.6,0.605621545729011,0.9966,1.6276

Catch and biomass time series
Year,Mature biomass (tons),Spawning biomass (tons),Catch (tons),Mature and immature age-3 abundance (recruitment in millions)
1980,26880.4254943892,22495.4254943892,4385,383.5734
1981,33831.8406490443,30325.840626998,3506.00002204634,99.1119
1982,28354.6329284155,23991.6329725082,4362.99995590732,265.1961
1983,35022.3771467625,29572.3771467625,5450,1302.8767
1984,37092.7647214445,31262.7647214445,5830,589.2696
1985,37145.2533124628,29670.2533124628,7475,174.7955
1986,33520.6012037302,28077.6012478229,5442.99995590732,455.1827
1987,45513.9154302344,41297.915408188,4216.00002204634,2884.8222
1988,49668.4756057232,40093.4756057232,9575,386.4195
1989,44787.8332855663,32652.8332855663,12135,75.3923
1990,36240.907978571,32436.9080006173,3803.99997795366,195.2739
1991,44261.0114861439,42353.0115302366,1907.99995590732,3390.7831
1992,55748.864392954,50380.8644370467,5367.99995590732,260.4146
1993,52850.1203730241,42664.1203509778,10186.0000220463,113.1779
1994,45919.7264049031,41032.8164201151,4886.90998478802,160.1398
1995,40973.4745034062,37995.5745276571,2977.89997574902,677.458
1996,32129.4749663793,23880.3249630724,8249.15000330695,524.5752
1997,39564.9274675368,28310.4074163893,11254.5200511475,1257.6995
1998,49554.4011111356,42767.8411120175,6786.55999911815,1080.5538
1999,50636.8200357151,41215.3600167552,9421.46001895985,213.88
2000,58586.7596287396,53967.3896029454,4619.37002579422,540.7808
2001,66596.3857227893,54536.3857227893,12060,764.9079
2002,68132.082717873,58196.5827068498,9935.50001102317,509.194
2003,83202.4573954452,76246.3473621552,6956.11003328998,1740.9834
2004,92971.3200246919,82354.7300425494,10616.5899821425,266.459
2005,99820.8663109857,88300.5362772548,11520.3300337309,501.8326
2006,95202.3551004211,85132.9251085782,10069.4299918429,607.1836
2007,94235.4680438281,82473.2179942239,11762.2500496043,867.254
2008,98783.884344893,84223.4843140281,14560.4000308649,1083.0127
2009,106399.333980026,91524.8440221345,14874.4899578915,770.2412
2010,106164.74172711,88201.2516810335,17963.4900460769,724.322
2011,100703.79373443,81164.5737339889,19539.2200004409,298.6446
2012,76505.4345333892,63196.9245353734,13308.5099980158,197.5278
2013,74780.4765316696,68994.7564981591,5785.72003351044,503.6981
2014,62868.6669679667,45791.2769240944,17077.3900438722,64.5078
2015,67350.3999206332,58494.5698758791,8855.83004475407,1356.0572
2016,67898.6229855156,57843.162988602,10055.4599969135,172.2788
2017,79642.3485967504,65579.4285588307,14062.9200379197,1008.3051

Mature and immature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,383.5734,690.7143,99.3843,8.8573,0.5191,0.4389
1981,99.1119,180.8767,316.192,43.0543,3.6421,0.3824
1982,265.1961,47.017,84.3106,142.728,18.8665,1.7375
1983,1302.8767,125.2675,21.6344,36.9588,59.7821,8.4337
1984,589.2696,614.7524,57.4499,9.412,15.2982,27.5237
1985,174.7955,278.0524,281.9675,24.9997,3.8974,17.2115
1986,455.1827,82.2098,126.2693,119.9055,9.9842,8.1003
1987,2884.8222,214.8136,37.7238,55.0029,49.7306,7.2946
1988,386.4195,1368.8168,100.1968,17.0542,24.1584,24.6834
1989,75.3923,181.7566,621.7739,42.6348,6.8177,18.8272
1990,195.2739,35.2545,81.0867,253.578,15.9247,9.0582
1991,3390.7831,92.6351,16.4332,36.6037,111.1253,10.7728
1992,260.4146,1616.3743,43.8123,7.6626,16.8492,55.7555
1993,113.1779,123.5602,753.8667,19.8027,3.3645,31.3202
1994,160.1398,53.2826,56.2815,322.8426,7.997,13.4832
1995,677.458,75.9615,24.8302,25.3915,141.3532,9.2406
1996,524.5752,322.1844,35.6756,11.3994,11.4168,67.0209
1997,1257.6995,245.3529,143.8339,14.5733,4.2691,27.747
1998,1080.5538,588.3739,109.6064,58.8483,5.4717,11.3603
1999,213.88,510.7725,271.3209,48.2854,24.8384,6.9235
2000,540.7808,127.4386,294.57,147.2246,24.7257,15.77
2001,764.9079,325.3048,75.6433,170.6568,83.417,22.6677
2002,509.194,455.9899,187.8921,41.1896,87.871,53.0236
2003,1740.9834,304.4874,265.8554,104.5396,21.9336,73.2281
2004,266.459,1046.6103,180.3862,153.3604,58.846,52.7744
2005,501.8326,159.7759,615.2969,102.276,84.0794,60.0453
2006,607.1836,300.9379,93.9556,349.0662,56.1226,77.6378
2007,867.254,364.4134,177.4029,53.5999,193.1873,72.7357
2008,1083.0127,519.5771,213.6765,99.9902,29.1194,141.6619
2009,770.2412,647.5007,302.7608,118.7352,53.1407,88.2542
2010,724.322,460.8446,378.1483,169.0989,63.6046,73.8894
2011,298.6446,432.3103,267.1462,207.6417,88.218,69.6187
2012,197.5278,177.8785,249.0362,144.5776,105.8874,77.802
2013,503.6981,117.8665,103.0407,136.5223,75.2325,92.8118
2014,64.5078,303.0463,69.9951,59.7595,77.4784,94.1909
2015,1356.0572,38.1641,170.9927,36.0791,28.1905,76.7636
2016,172.2788,809.1657,22.1071,93.7343,18.7728,52.8821
2017,1008.3051,102.4751,464.2191,11.8506,47.0849,34.5628

Mature numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,39.501,186.0864,53.8887,7.0138,0.4799,0.428
1981,10.2067,48.7303,171.4472,34.0933,3.3666,0.3729
1982,27.3103,12.6669,45.7153,113.0216,17.4395,1.6944
1983,134.1725,33.7485,11.7307,29.2665,55.2603,8.2242
1984,60.684,165.6214,31.1508,7.453,14.1411,26.84
1985,18.0007,74.9105,152.8899,19.7964,3.6026,16.7839
1986,46.8755,22.1483,68.4664,94.9493,9.229,7.899
1987,297.0839,57.8733,20.4548,43.555,45.969,7.1134
1988,39.7941,368.775,54.3292,13.5047,22.3311,24.0702
1989,7.764,48.9673,337.1415,33.7611,6.302,18.3595
1990,20.1096,9.498,43.9672,200.8002,14.7202,8.8332
1991,349.1886,24.957,8.9105,28.9853,102.7199,10.5052
1992,26.8179,435.4698,23.7561,6.0678,15.5748,54.3704
1993,11.6553,33.2885,408.7655,15.6811,3.11,30.5421
1994,16.4915,14.3549,30.5172,255.6485,7.3921,13.1482
1995,69.7658,20.4649,13.4636,20.1067,130.6614,9.011
1996,54.0216,86.8002,19.3442,9.0268,10.5532,65.3559
1997,129.52,66.1009,77.9903,11.5401,3.9462,27.0577
1998,111.2773,158.5147,59.4313,46.6001,5.0578,11.0781
1999,22.0257,137.608,147.117,38.2356,22.9596,6.7515
2000,55.6905,34.3334,159.7233,116.5823,22.8555,15.3783
2001,78.7715,87.6409,41.0157,135.1375,77.1074,22.1046
2002,52.4377,122.8489,101.8798,32.6167,81.2245,51.7064
2003,179.2894,82.0324,144.1535,82.7815,20.2746,71.409
2004,27.4404,281.9688,97.8099,121.4411,54.3949,51.4634
2005,51.6796,43.0455,333.6295,80.989,77.7197,58.5536
2006,62.5288,81.0761,50.9451,276.4142,51.8776,75.709
2007,89.3113,98.1771,96.1923,42.444,178.5748,70.9288
2008,111.5305,139.98,115.8608,79.179,26.9168,138.1427
2009,79.3207,174.4441,164.1645,94.0225,49.1212,86.0618
2010,74.5919,124.1568,205.0416,133.9039,58.7937,72.0538
2011,30.7549,116.4694,144.8534,164.4247,81.5453,67.8892
2012,20.3417,47.9225,135.0337,114.4863,97.8782,75.8692
2013,51.8717,31.7546,55.8713,108.1075,69.542,90.5061
2014,6.6431,81.6442,37.9531,47.3216,71.618,91.851
2015,211.2931,17.0286,133.1367,33.8727,27.776,76.502
2016,26.8435,361.0449,17.2128,88.002,18.4968,52.702
2017,157.1084,45.7238,361.4458,11.1259,46.3926,34.445

Spawning numbers-at-age (millions)
Year,3,4,5,6,7,8+
1980,33.8479,156.0173,44.4611,5.7663,0.3954,0.3534
1981,9.3311,44.0104,153.4682,30.4583,3.0114,0.3339
1982,23.8456,10.8525,38.6257,95.2012,14.7186,1.4326
1983,115.7473,28.5158,9.7615,24.2714,45.9276,6.8485
1984,52.3716,140.0063,25.9347,6.1842,11.7589,22.3617
1985,14.9727,60.6827,121.4506,15.6576,2.8573,13.3448
1986,40.5202,18.7579,57.1191,78.9499,7.6902,6.5945
1987,272.2403,52.4089,18.3638,39.0282,41.2413,6.3888
1988,33.1332,299.0803,43.2127,10.6953,17.7342,19.1626
1989,6.0317,36.6316,245.1884,24.3991,4.5728,13.3699
1990,18.3856,8.5786,39.3596,179.4052,13.1682,7.9108
1991,335.6258,23.8625,8.4874,27.5861,97.8132,10.0082
1992,24.5674,394.2096,21.3191,5.435,13.9674,48.8128
1993,9.805,27.3218,329.4396,12.5871,2.5028,24.6361
